N	2gram	Tiupa_Anal_2	NovoeSre
1	а не	10	17
2	не может	4	16
3	и в	16	16
4	и не	12	11
5	что в	2	9
6	он не	2	8
7	в том	12	8
8	как и	14	7
9	в этом	18	7
10	может быть	6	7
11	никогда не	3	6
12	не знает	3	6
13	не в	4	6
14	лишь в	9	6
15	все это	4	5
16	с ее	2	5
17	и к	5	5
18	не только	16	5
19	не менее	4	4
20	то что	7	4
21	и все	3	4
22	не имеет	2	4
23	и для	2	4
24	прежде всего	3	4
25	о том	7	4
26	но и	12	3
27	не есть	2	3
28	в своей	2	3
29	с другой	6	3
30	во всех	4	3
31	к тому	7	3
32	в мире	6	3
33	подобно тому	3	3
34	как в	4	3
35	она не	2	3
36	еще не	2	3
37	тому как	3	3
38	за пределы	4	3
39	сказать что	2	3
40	это было	2	3
41	времени в	4	2
42	что все	2	2
43	на протяжении	2	2
44	себя в	2	2
45	место в	3	2
46	на уровне	9	2
47	у него	4	2
48	вместе с	2	2
49	так и	15	2
50	что она	2	2
51	и т.п	8	2
52	другой стороны	2	2
53	личность в	2	2
54	а в	3	2
55	с одной	5	2
56	этом смысле	2	2
57	в одну	2	2
58	уже не	4	2
59	роль в	2	2
60	одной стороны	4	2
61	и даже	9	2
62	но не	4	2
63	так же	2	2
64	по существу	2	2
65	том что	12	2
66	можно было	3	2
67	есть в	3	2
68	могут быть	10	2
69	и на	6	2
70	в себе	7	2
71	ведь и	2	2
72	с их	2	2
73	в то	2	2
74	как будто	3	2
75	такого рода	2	2
76	в центре	3	2
77	как это	6	2
78	хотя и	4	2
79	но в	6	2
80	нашего времени	4	2
