N	2gram	Tiupa_Vved_1	Komedia
1	и в	13	22
2	том что	7	12
3	в том	10	11
4	но и	19	11
5	не только	20	10
6	в то	4	10
7	как и	11	9
8	может быть	18	9
9	таким образом	4	8
10	должны были	2	8
11	и не	12	8
12	и его	5	8
13	о том	5	8
14	едва ли	3	7
15	что в	3	6
16	одного из	3	6
17	к тому	6	6
18	тому же	4	6
19	такого рода	16	6
20	и по	3	6
21	то же	5	6
22	не в	6	6
23	а в	6	6
24	с другой	5	5
25	прежде всего	7	5
26	при этом	26	5
27	в его	4	5
28	еще в	2	5
29	один из	3	5
30	так и	8	5
31	как в	4	5
32	другой стороны	2	5
33	нового времени	3	5
34	войны и	3	5
35	потому что	5	5
36	к этому	2	4
37	по поводу	2	4
38	как мы	3	4
39	в качестве	8	4
40	же время	3	4
41	а также	8	4
42	в котором	8	4
43	в нем	5	4
44	что и	2	4
45	на него	2	4
46	так в	4	4
47	тем что	2	4
48	и опять	2	4
49	в результате	3	4
50	действующих лиц	2	4
51	ли не	2	4
52	но в	6	4
53	мы можем	2	4
54	место в	2	3
55	не менее	4	3
56	однако в	4	3
57	в них	2	3
58	по своему	2	3
59	одной стороны	5	3
60	в начале	3	3
61	в частности	13	3
62	хотя и	7	3
63	он не	3	3
64	все же	6	3
65	отношению к	7	3
66	в целом	3	3
67	отношение к	2	3
68	по отношению	7	3
69	этом отношении	4	3
70	с одной	5	3
71	мы не	4	3
72	как раз	2	3
73	и на	3	3
74	в этом	21	3
75	и с	2	3
76	могут быть	4	3
77	только в	6	3
78	как правило	6	3
79	и все	4	3
80	в сознании	4	3
81	к которому	2	3
82	времени и	7	2
83	в рамках	4	2
84	для них	3	2
85	в свою	4	2
86	точек зрения	2	2
87	тем не	3	2
88	мы видели	2	2
89	а к	3	2
90	одна из	4	2
91	но не	5	2
92	а то	2	2
93	до конца	3	2
94	еще не	7	2
95	было бы	4	2
96	в самом	2	2
97	и тем	2	2
98	то что	6	2
99	не к	4	2
100	наряду с	2	2
101	судя по	2	2
102	все что	3	2
103	со стороны	5	2
104	или менее	2	2
105	как по	2	2
106	вслед за	2	2
107	который в	2	2
108	в настоящем	2	2
109	то и	2	2
110	не может	7	2
111	принадлежит к	3	2
112	в силу	2	2
113	но это	3	2
114	не следует	3	2
115	что касается	5	2
116	в своих	2	2
117	это время	2	2
118	в себе	5	2
119	в финале	2	2
120	по своей	3	2
121	как будто	4	2
122	будто бы	3	2
123	отличие от	2	2
124	в области	3	2
125	ли это	2	2
