N	2gram	Berdyaev_M_2	Narrotol
1	не только	18	31
2	но и	15	27
3	и не	18	23
4	может быть	21	15
5	как и	13	13
6	а не	13	13
7	а в	2	13
8	только в	3	12
9	в этом	20	12
10	и в	46	11
11	такого рода	2	10
12	и его	5	10
13	то что	5	9
14	то же	5	8
15	в том	3	8
16	не может	15	8
17	уже не	4	8
18	если бы	3	7
19	у него	22	7
20	том что	4	7
21	но в	10	7
22	к тому	5	6
23	не в	9	6
24	и он	11	6
25	в самом	5	6
26	не мог	3	6
27	как бы	8	6
28	один из	5	6
29	жизни и	6	6
30	в себе	10	6
31	в его	5	6
32	в этой	7	6
33	в своей	5	5
34	так и	4	5
35	и на	3	5
36	потому что	12	5
37	точки зрения	2	5
38	с его	4	4
39	никогда не	18	4
40	к себе	2	4
41	или иной	2	4
42	для него	18	4
43	то в	2	4
44	прежде всего	12	4
45	к нему	2	4
46	в ней	11	4
47	в нем	22	4
48	в мире	7	4
49	по себе	2	4
50	как в	7	4
51	того что	6	4
52	того чтобы	4	4
53	хотя и	2	4
54	что у	4	4
55	о том	3	4
56	не существует	3	3
57	тому как	2	3
58	он сам	6	3
59	что в	4	3
60	в нашем	7	3
61	в своем	8	3
62	это не	5	3
63	в жизни	4	3
64	не всегда	2	3
65	что он	7	3
66	у нас	11	3
67	для того	5	3
68	жизни а	2	3
69	но для	2	3
70	он не	10	3
71	еще в	2	3
72	отношению к	2	3
73	по отношению	2	3
74	в центре	2	3
75	не было	11	3
76	лишь в	2	3
77	к чему	4	3
78	также и	4	3
79	и с	3	3
80	подобно тому	2	3
81	как будто	2	3
82	в русской	6	3
83	и все	5	3
84	между тем	2	3
85	а для	2	3
86	в этих	2	2
87	тот кто	5	2
88	в конце	5	2
89	а за	2	2
90	в сущности	2	2
91	в свою	4	2
92	да и	2	2
93	они и	4	2
94	все что	4	2
95	до конца	4	2
96	до сих	3	2
97	она не	8	2
98	как у	2	2
99	он уже	2	2
100	и самого	3	2
101	не имеет	4	2
102	в смысл	2	2
103	оно не	2	2
104	хотя бы	7	2
105	себя в	4	2
106	не будет	3	2
107	вместе с	2	2
108	быть и	2	2
109	сих пор	3	2
110	в сфере	2	2
111	человеческой жизни	2	2
112	и тогда	3	2
113	жизни в	3	2
114	все равно	3	2
115	человека в	14	2
116	и вот	5	2
117	что не	2	2
118	и для	7	2
119	друг друга	12	2
120	ничего не	2	2
121	нас в	2	2
122	это была	2	2
123	для друга	2	2
124	сказать что	3	2
125	не о	2	2
126	и от	3	2
127	друг для	2	2
128	связи с	2	2
129	в чем	3	2
130	с ним	3	2
131	та же	10	2
