N	2gram	Ircho_Kome_3	RusskieA
1	и в	22	29
2	т е	16	24
3	что в	5	22
4	том что	13	22
5	в том	12	22
6	как бы	3	18
7	состоит в	2	15
8	в других	3	15
9	может быть	6	13
10	так как	11	13
11	во время	6	12
12	как и	3	11
13	в этом	8	11
14	все это	5	10
15	е в	2	10
16	и с	4	10
17	не только	5	10
18	а на	2	9
19	о том	8	9
20	а в	7	9
21	в дом	14	8
22	но и	4	8
23	его в	8	8
24	как в	2	7
25	представляют собой	2	7
26	с тем	4	6
27	мы не	2	6
28	этом случае	2	6
29	еще не	6	6
30	для того	6	6
31	вместе с	9	6
32	таким образом	12	6
33	при этом	7	6
34	того чтобы	6	6
35	и на	2	6
36	представление о	2	5
37	потому что	10	5
38	это не	2	5
39	к этому	6	5
40	то что	4	5
41	и что	6	5
42	и т	4	5
43	не может	3	5
44	но в	5	5
45	о чем	7	4
46	в них	3	4
47	и все	2	4
48	а затем	2	4
49	по существу	2	4
50	так что	6	4
51	не в	4	4
52	из них	5	4
53	к нему	5	4
54	а также	2	4
55	так же	4	4
56	то же	7	4
57	на них	3	4
58	а не	4	4
59	в таком	2	4
60	в которых	5	4
61	их в	3	4
62	далеко не	3	4
63	как это	5	4
64	тем что	5	3
65	должен был	4	3
66	в качестве	2	3
67	должно было	3	3
68	в ее	3	3
69	за ним	2	3
70	она не	2	3
71	до конца	4	3
72	было бы	3	3
73	и о	2	3
74	что она	4	3
75	но если	3	3
76	в и	2	3
77	в котором	2	3
78	с другими	2	3
79	не имеет	3	3
80	во всех	2	3
81	что для	2	3
82	друг друга	4	3
83	как мы	2	3
84	и после	2	3
85	между тем	2	3
86	в этой	3	3
87	отличие от	2	3
88	не менее	5	2
89	с этой	3	2
90	связи с	5	2
91	об этом	7	2
92	никогда не	3	2
93	между собой	4	2
94	с другой	4	2
95	сразу же	4	2
96	ироническое отношение	2	2
97	в образе	2	2
98	если он	2	2
99	это в	2	2
100	прежде всего	5	2
101	нет никаких	2	2
102	что и	8	2
103	к ней	8	2
104	что с	2	2
105	в г	2	2
106	одним из	2	2
107	человека который	2	2
108	вывод что	2	2
109	чем в	3	2
110	в глаза	3	2
111	то время	2	2
112	одной стороны	3	2
113	только как	2	2
114	совершенно не	2	2
115	тем не	3	2
116	не совсем	2	2
117	из этого	2	2
118	в виду	2	2
119	за пределами	2	2
120	не ясно	2	2
121	один из	3	2
122	должен быть	2	2
123	не с	2	2
124	все же	4	2
125	в своей	5	2
126	после этого	2	2
127	дело не	2	2
128	в их	2	2
129	не было	2	2
130	с одной	3	2
131	в течение	3	2
132	ней в	2	2
133	из которых	2	2
134	и для	4	2
135	можно было	2	2
136	после чего	2	2
137	в своих	2	2
138	людей и	2	2
139	в руки	2	2
140	с этим	3	2
141	на себя	4	2
142	и ее	2	2
143	и еще	3	2
144	на улицу	2	2
145	в то	6	2
146	видно что	2	2
147	представляет собой	3	2
148	в которой	3	2
