N	3gram	Vygotskiy__2	Analitik
1	не может быть	8	16
2	в том что	17	9
3	в то же	2	8
4	в том чтобы	3	7
5	то же время	2	6
6	и не может	2	4
7	в конечном счете	3	4
8	с точки зрения	10	4
9	бы то ни	2	3
10	состоит в том	2	3
11	подобно тому как	2	3
12	не в том	2	3
13	для того чтобы	13	3
14	о том что	4	3
15	того или иного	2	3
16	и т п	8	3
17	сами по себе	3	2
18	в данном случае	4	2
19	в самом деле	11	2
20	в этом отношении	5	2
21	том что он	3	2
22	того и другого	2	2
23	то же самое	6	2
24	в том и	2	2
25	не остается ничего	2	2
26	с другой стороны	2	2
