N	2gram	Ircho_Kome_3	Problemy
1	и в	22	34
2	и не	21	29
3	как бы	3	27
4	что он	8	23
5	в его	8	22
6	может быть	6	19
7	в нем	3	19
8	не может	3	19
9	и все	2	19
10	как и	3	18
11	к себе	5	17
12	но в	5	16
13	все это	5	16
14	и его	6	16
15	в этом	8	16
16	и с	4	15
17	прежде всего	5	15
18	он не	5	15
19	то же	7	14
20	к нему	5	14
21	самом деле	6	13
22	т е	16	12
23	но и	4	12
24	же время	5	12
25	и к	3	12
26	потому что	10	12
27	в то	6	12
28	вовсе не	4	11
29	в сущности	2	11
30	то что	4	11
31	не только	5	10
32	в отношении	4	9
33	не в	4	9
34	а не	4	9
35	самого начала	4	8
36	никогда не	3	8
37	себя и	2	8
38	с самого	4	8
39	в самом	9	8
40	и т	4	8
41	так же	4	8
42	точки зрения	4	8
43	с ним	5	8
44	и для	4	8
45	в другом	2	8
46	что в	5	7
47	и даже	3	7
48	все же	4	7
49	на него	4	7
50	как мы	2	7
51	что не	3	7
52	что они	2	6
53	в пределах	2	6
54	которым он	2	6
55	отношение к	5	6
56	не знает	3	6
57	и на	2	6
58	с его	3	6
59	отношению к	3	6
60	так и	4	6
61	т п	4	6
62	в себе	4	6
63	все время	2	5
64	это не	2	5
65	в конце	7	5
66	к тому	6	5
67	так что	6	5
68	но все	4	5
69	и что	6	5
70	и сам	5	5
71	я ведь	2	5
72	всяком случае	3	5
73	в целом	3	5
74	из них	5	5
75	по отношению	5	5
76	таким образом	12	5
77	на них	3	5
78	не мог	2	5
79	а в	7	5
80	он и	2	5
81	что ты	2	5
82	с тем	4	5
83	в одном	2	5
84	что и	8	5
85	к своему	2	5
86	хотя бы	4	5
87	во всяком	3	5
88	на вопрос	2	4
89	то ни	3	4
90	с другой	4	4
91	ни было	2	4
92	ни в	10	4
93	из его	2	4
94	у него	4	4
95	при этом	7	4
96	на его	2	4
97	не о	3	4
98	бы то	2	4
99	бы он	3	4
100	в начале	3	4
101	его в	8	4
102	так как	11	4
103	если бы	8	4
104	как раз	6	4
105	еще не	6	4
106	как в	2	4
107	все равно	3	4
108	в мире	2	4
109	с точки	3	4
110	с другими	2	4
111	тем что	5	4
112	и это	2	4
113	из своего	3	4
114	ничего не	3	4
115	вместе с	9	4
116	не менее	5	3
117	уже в	2	3
118	в том	12	3
119	что его	5	3
120	в глаза	3	3
121	что с	2	3
122	до конца	4	3
123	хотя и	5	3
124	в виду	2	3
125	в котором	2	3
126	другой стороны	2	3
127	их в	3	3
128	в ней	4	3
129	нуждается в	2	3
130	говорить о	3	3
131	как он	3	3
132	конце концов	2	3
133	бы в	4	3
134	под влиянием	2	3
135	не как	2	3
136	и во	2	3
137	в ее	3	3
138	том что	13	3
139	к концу	2	3
140	по своему	3	3
141	между тем	2	3
142	нет и	4	3
143	в своей	5	3
144	только что	7	3
145	если не	3	3
146	далеко не	3	3
147	он знает	4	2
148	не было	2	2
149	отрывок из	2	2
150	ипполита и	4	2
151	тому что	2	2
152	столь же	3	2
153	с этой	3	2
154	именно потому	2	2
155	это в	2	2
156	этом случае	2	2
157	тем не	3	2
158	мы знаем	2	2
159	отца не	3	2
160	и если	2	2
161	с уже	2	2
162	при всей	2	2
163	был бы	2	2
164	не является	4	2
165	один из	3	2
166	и мысли	3	2
167	друг друга	4	2
168	и со	2	2
169	в своем	8	2
170	правда он	2	2
171	в произведениях	2	2
172	отказаться от	2	2
173	в которых	5	2
174	остается в	2	2
175	с этим	3	2
176	теперь же	3	2
177	о том	8	2
178	нет ни	2	2
179	во время	6	2
180	а как	2	2
181	нисколько не	3	2
182	обращается к	3	2
183	отнюдь не	4	2
184	однако в	4	2
185	в них	3	2
186	здесь и	2	2
187	по всему	3	2
188	не с	2	2
189	не хочет	5	2
190	того же	6	2
191	тот же	2	2
192	было бы	3	2
193	раз в	2	2
194	конечно не	3	2
195	за пределы	2	2
196	во всех	2	2
197	к ней	8	2
198	когда он	4	2
199	бы не	2	2
200	тому же	6	2
201	и он	2	2
202	в которой	3	2
203	и без	2	2
204	и ее	2	2
205	за ним	2	2
206	отличие от	2	2
207	о чем	7	2
