N	2gram	Tiupa_Anal_3	Tvorches
1	и в	18	21
2	как бы	10	17
3	в то	3	15
4	в его	7	13
5	то же	3	13
6	что в	9	12
7	как и	14	12
8	же время	3	12
9	то есть	10	12
10	с его	8	11
11	том что	12	11
12	в романе	2	10
13	все это	3	10
14	как в	3	8
15	он не	6	8
16	то что	2	8
17	в свою	5	7
18	в том	9	7
19	тем самым	4	7
20	при этом	11	7
21	не только	22	7
22	и не	12	7
23	в году	3	7
24	и на	4	7
25	но в	2	7
26	что он	4	6
27	и все	2	6
28	не менее	4	6
29	для него	6	6
30	а в	10	6
31	и его	13	6
32	в этом	14	6
33	о том	6	6
34	отнюдь не	4	5
35	а не	9	5
36	может быть	9	5
37	в этой	6	5
38	все же	4	5
39	таким образом	4	5
40	только в	2	5
41	в русской	7	5
42	в своем	4	4
43	прежде всего	5	4
44	в мире	5	4
45	и как	4	4
46	в целом	3	4
47	конечном счете	2	4
48	в конечном	2	4
49	по сути	2	4
50	один из	2	4
51	своего рода	8	4
52	русской литературе	4	4
53	не может	2	4
54	это не	2	4
55	не случайно	8	4
56	в момент	2	4
57	и от	2	4
58	в финале	3	4
59	на эту	2	4
60	уже в	3	3
61	никогда не	5	3
62	с другой	7	3
63	в каждом	3	3
64	говорит о	2	3
65	с ее	3	3
66	это и	2	3
67	в соответствии	2	3
68	в дальнейшем	2	3
69	но не	7	3
70	со всеми	2	3
71	на его	2	3
72	в самом	5	3
73	той же	5	3
74	авторской позиции	2	3
75	даже в	2	3
76	в нем	2	3
77	но и	13	3
78	дело не	3	3
79	в их	6	3
80	который в	3	3
81	уже не	5	3
82	и даже	8	3
83	и по	2	3
84	из повести	2	3
85	хотя и	2	3
86	далеко не	4	3
87	дело в	2	3
88	представляет собой	5	3
89	я и	3	3
90	в принципе	2	2
91	перед нами	4	2
92	личности и	2	2
93	в частности	12	2
94	однако в	5	2
95	в качестве	12	2
96	не столько	3	2
97	по крайней	4	2
98	у пушкина	3	2
99	в жизни	2	2
100	личности в	3	2
101	к этому	3	2
102	есть не	2	2
103	можно сказать	4	2
104	что и	5	2
105	крайней мере	4	2
106	его как	3	2
107	об этом	2	2
108	не в	6	2
109	то в	2	2
110	одна из	2	2
111	лицо его	2	2
112	в глаза	2	2
113	того же	5	2
114	мысль о	3	2
115	в первой	8	2
116	к тому	6	2
117	по преимуществу	2	2
118	в ней	2	2
119	этом он	2	2
120	если в	3	2
121	гораздо более	2	2
122	которого он	2	2
123	тем не	2	2
124	не будет	3	2
125	во второй	7	2
126	когда он	2	2
127	вместе с	2	2
128	к жизни	3	2
129	данном случае	3	2
130	так и	14	2
131	приводит к	4	2
132	в отличие	2	2
133	как к	2	2
134	и того	3	2
135	именно в	3	2
136	в себя	2	2
137	что она	2	2
138	не мог	2	2
139	самом деле	2	2
140	что не	3	2
141	и он	2	2
142	отличие от	2	2
143	сказать что	2	2
144	в первом	2	2
145	могут быть	2	2
146	в данном	4	2
147	в себе	2	2
148	героя и	4	2
149	так сказать	2	2
