N	3gram	Losev_Prob_3	Marksizm
1	с точки зрения	2	20
2	не может быть	5	13
3	то ни было	3	8
4	бы то ни	4	8
5	до сих пор	2	8
6	в связи с	7	7
7	в настоящее время	2	6
8	в отличие от	2	5
9	с другой стороны	5	5
10	то же самое	7	3
11	мы не будем	2	3
12	может быть и	3	3
13	в то же	4	3
14	отнюдь не является	2	3
15	можно сказать что	2	3
16	в конце концов	3	3
17	в том что	9	3
18	в этом случае	5	3
19	самом же деле	4	2
20	на первый план	2	2
21	в таком случае	4	2
22	же как и	2	2
23	на самом же	4	2
24	можно было бы	3	2
25	тем не менее	10	2
26	сама по себе	8	2
27	во всяком случае	6	2
28	ничего общего с	2	2
