N	2gram	Berdyaev_V_1	Istorich
1	и в	16	24
2	что он	4	21
3	не только	2	21
4	и т	2	17
5	т д	2	16
6	в этих	3	13
7	что в	3	13
8	в этом	4	12
9	но и	5	11
10	это не	2	10
11	том что	2	10
12	а в	2	10
13	и что	3	10
14	не в	3	9
15	потому что	4	9
16	еще не	8	8
17	что и	3	8
18	все это	5	8
19	а не	7	8
20	так как	9	8
21	один из	2	7
22	в том	3	7
23	одна из	2	7
24	во всех	3	7
25	то что	9	7
26	тем что	2	6
27	для нас	2	6
28	как и	4	6
29	но не	2	6
30	в нем	4	6
31	и все	4	6
32	того что	5	6
33	только в	2	6
34	тот кто	2	5
35	то это	3	5
36	так и	4	5
37	в чем	3	5
38	с ним	2	5
39	но в	3	5
40	никогда не	3	4
41	как бы	5	4
42	если не	3	4
43	и не	20	4
44	не имеет	3	4
45	мы не	2	4
46	с его	3	3
47	в них	3	3
48	превращается в	3	3
49	в образе	4	3
50	что они	7	3
51	ее в	2	3
52	но это	3	3
53	хотя и	5	3
54	от него	2	3
55	что мы	4	3
56	в конце	3	3
57	на земле	7	2
58	не будет	2	2
59	по этому	3	2
60	что во	3	2
61	тому что	3	2
62	прежде всего	2	2
63	не могут	2	2
64	ни в	3	2
65	которой они	2	2
66	в форме	2	2
67	тот же	3	2
68	в котором	4	2
69	на себя	5	2
70	на том	2	2
71	уже не	2	2
72	что не	4	2
73	не так	2	2
74	его не	2	2
75	которые не	2	2
76	все эти	3	2
77	и это	2	2
78	конечно не	2	2
