N	2gram	Tiupa_Anal_1	Tvorches
1	и в	18	20
2	не только	15	13
3	и т	3	13
4	никогда не	2	11
5	как бы	5	11
6	в его	13	10
7	таким образом	3	10
8	в то	9	10
9	и его	5	9
10	и не	21	9
11	прежде всего	6	8
12	в том	27	8
13	при этом	12	8
14	но и	17	8
15	может быть	29	8
16	ю м	2	8
17	в этом	13	8
18	и с	2	8
19	это не	6	7
20	же время	6	7
21	что в	5	7
22	не может	22	7
23	то же	9	7
24	потому что	2	7
25	что он	3	6
26	как и	13	6
27	в целом	5	6
28	в своей	6	6
29	так и	4	6
30	именно в	4	6
31	а не	17	6
32	в творческом	2	5
33	в мире	8	5
34	еще не	3	5
35	но не	10	5
36	читателя в	2	5
37	и сам	2	5
38	все же	4	5
39	и на	5	5
40	в этой	5	5
41	о том	5	5
42	то есть	11	5
43	том что	12	4
44	соответствии с	2	4
45	отнюдь не	15	4
46	на его	2	4
47	все эти	2	4
48	тем самым	7	4
49	героя в	2	4
50	в принципе	8	4
51	не в	14	4
52	а в	9	4
53	и потому	2	4
54	если бы	3	4
55	но в	8	4
56	место в	3	3
57	а с	3	3
58	с ним	4	3
59	отношению к	5	3
60	х годов	2	3
61	быть может	2	3
62	для него	2	3
63	что не	3	3
64	своего рода	3	3
65	в самом	6	3
66	он не	3	3
67	в котором	3	3
68	не является	2	3
69	один из	2	3
70	в нем	3	3
71	то что	6	3
72	вместе с	4	3
73	в их	5	3
74	по отношению	6	3
75	тогда как	14	3
76	так как	2	3
77	уже не	4	3
78	одним из	3	3
79	в таком	3	3
80	в себе	11	3
81	в начале	2	3
82	нет ничего	2	3
83	между тем	5	3
84	и есть	3	2
85	личности в	3	2
86	его и	2	2
87	с другой	4	2
88	вовсе не	2	2
89	такой же	2	2
90	наш взгляд	6	2
91	в литературе	4	2
92	в искусстве	2	2
93	тому же	4	2
94	более того	3	2
95	только через	2	2
96	как известно	3	2
97	на наш	6	2
98	в частности	19	2
99	нет и	2	2
100	только для	2	2
101	себя в	6	2
102	в процессе	2	2
103	и тогда	2	2
104	в отличие	6	2
105	т п	3	2
106	бы не	2	2
107	сводится к	5	2
108	самом деле	2	2
109	может служить	2	2
110	другой стороны	2	2
111	и по	2	2
112	особенно в	2	2
113	роль в	2	2
114	с другими	4	2
115	не столько	2	2
116	не случайно	3	2
117	в основе	6	2
118	из них	2	2
119	могут быть	4	2
120	в которой	2	2
121	с другим	4	2
122	только в	6	2
123	как правило	4	2
124	при помощи	2	2
125	таком случае	3	2
126	едва ли	2	2
127	отличие от	6	2
