N	3gram	Medvedev_F_3	Marksizm
1	с точки зрения	14	20
2	не может быть	14	13
3	в самом деле	4	9
4	и не может	4	9
5	то ни было	4	8
6	бы то ни	4	8
7	в связи с	4	7
8	в отличие от	2	5
9	с другой стороны	5	5
10	в направлении к	4	5
11	одни и те	3	5
12	как мы знаем	4	5
13	и те же	3	5
14	то же самое	3	3
15	в большинстве случаев	4	3
16	все без исключения	3	3
17	в то же	7	3
18	то же время	7	3
19	в конце концов	2	3
20	социального общения и	2	3
21	в этом отношении	3	3
22	в высшей степени	2	3
23	в том что	3	3
24	для того чтобы	4	3
25	мы отвлечемся от	2	2
26	смысле этого слова	2	2
27	самом же деле	2	2
28	только в процессе	2	2
29	слова и его	2	2
30	может быть понято	4	2
31	если мы отвлечемся	2	2
32	в пределах одного	2	2
33	на самом же	2	2
34	нет и не	2	2
35	тем не менее	2	2
36	упускается из виду	2	2
37	друг друга в	2	2
38	во всяком случае	6	2
39	с установкой на	2	2
40	в неразрывной связи	2	2
41	в этом смысле	2	2
42	по отношению к	3	2
43	как и все	2	2
44	во всех областях	2	2
