N	2gram	Tiupa_Anal_2	TeoriaLi
1	в мире	6	24
2	не только	16	18
3	в качестве	11	17
4	тогда как	19	16
5	и не	12	16
6	я в	3	16
7	а в	3	14
8	в частности	16	13
9	и в	16	13
10	состоит в	8	13
11	может быть	6	12
12	так и	15	12
13	то есть	9	12
14	представляет собой	8	11
15	при этом	10	11
16	в этом	18	11
17	в том	12	11
18	но не	4	10
19	в тексте	24	10
20	а не	10	10
21	и его	4	10
22	в его	2	9
23	внутреннего зрения	12	9
24	то же	4	9
25	сводится к	3	8
26	что в	2	8
27	своего рода	12	8
28	такого рода	2	8
29	отношению к	4	8
30	но и	12	8
31	по отношению	4	8
32	субъектной организации	6	8
33	кадров внутреннего	7	7
34	себя в	2	7
35	в себе	7	7
36	том что	12	7
37	во второй	4	7
38	в отличие	2	7
39	в данном	8	7
40	точки зрения	4	7
41	в то	2	7
42	только в	4	7
43	как это	6	7
44	отличие от	2	7
45	место в	3	6
46	же время	2	6
47	художественной реальности	20	6
48	еще не	2	6
49	объектной организации	10	6
50	модус художественности	3	6
51	в первой	3	6
52	присутствия в	2	6
53	лишь в	9	6
54	как бы	10	6
55	но в	6	6
56	в рамках	3	5
57	композиционных форм	2	5
58	и одновременно	3	5
59	в своем	4	5
60	или иного	3	5
61	или иной	3	5
62	а также	7	5
63	как и	14	5
64	не в	4	5
65	в пределах	9	5
66	лирическая героиня	3	5
67	в самом	6	5
68	того или	3	5
69	данном случае	5	5
70	как в	4	5
71	он не	2	5
72	уже не	4	5
73	тем самым	4	5
74	коммуникативного события	4	5
75	с другой	6	5
76	не случайно	8	5
77	между тем	2	5
78	мы имеем	3	5
79	художественного восприятия	2	4
80	личности и	2	4
81	не менее	4	4
82	конечном счете	2	4
83	не столько	3	4
84	художественности в	2	4
85	можно сказать	4	4
86	в ходе	4	4
87	с дудочкой	2	4
88	внутреннего я	2	4
89	читателя в	4	4
90	в конечном	3	4
91	за пределами	2	4
92	в своей	2	4
93	то что	7	4
94	литературного произведения	16	4
95	по преимуществу	4	4
96	в их	3	4
97	приводит к	3	4
98	и т.п	8	4
99	не может	4	4
100	организации художественного	3	4
101	высказывания в	3	4
102	на смену	3	4
103	художественного впечатления	17	4
104	художественного мира	2	4
105	сказать что	2	4
106	хотя и	4	4
107	говорить о	6	4
108	не знает	3	4
109	как правило	4	4
110	лирического героя	5	4
111	всего лишь	8	4
112	текста как	2	4
113	никогда не	3	3
114	в нашем	3	3
115	в этих	2	3
116	в противоположность	2	3
117	этом смысле	2	3
118	прежде всего	3	3
119	художественного произведения	2	3
120	и к	5	3
121	тем не	3	3
122	в соответствии	2	3
123	явления музы	3	3
124	для него	4	3
125	объекта и	2	3
126	того что	2	3
127	и сам	3	3
128	своем составе	3	3
129	бенвенист ритм	3	3
130	милой гостьи	3	3
131	иного рода	2	3
132	в сторону	5	3
133	может выступать	2	3
134	внутритекстовых дискурсов	3	3
135	совпадает с	4	3
136	той или	3	3
137	этого слова	3	3
138	на две	3	3
139	с ее	2	3
140	картины мира	2	3
141	ритмических рядов	15	3
142	во времени	2	3
143	другой стороны	2	3
144	как раз	4	3
145	таким образом	2	3
146	именно в	3	3
147	художественного целого	7	3
148	лирической ситуации	2	3
149	или в	3	3
150	и то	3	3
151	являет собой	3	3
152	речи и	2	3
153	между двумя	4	3
154	в этой	9	3
155	и т.д	3	3
156	его в	2	3
157	в эпизоде	10	3
158	в произведении	2	3
159	эстетического объекта	3	3
160	ритмического ряда	13	3
161	эстетического адресата	2	2
162	одну из	2	2
163	только не	4	2
164	о чем	2	2
165	если бы	3	2
166	была бы	2	2
167	могут быть	10	2
168	за пределы	4	2
169	уровни объектной	2	2
170	событийных границ	2	2
171	в конце	4	2
172	диалогическим углом	2	2
173	строки и	2	2
174	того же	4	2
175	в аспекте	4	2
176	текста в	6	2
177	в кадры	2	2
178	о себе	2	2
179	исторически наиболее	2	2
180	на фоне	3	2
181	вовсе не	2	2
182	или иных	2	2
183	организации феноменов	2	2
184	по себе	2	2
185	к тому	7	2
186	текста но	2	2
187	внутренний хронотоп	4	2
188	соответствии с	2	2
189	и адресата	2	2
190	объектной детализации	2	2
191	особого рода	2	2
192	казалось бы	3	2
193	перед лицом	2	2
194	одной стороны	4	2
195	вдохновения в	2	2
196	имеем дело	3	2
197	литературной нормы	2	2
198	одной из	3	2
199	к смыслу	2	2
200	вслед за	2	2
201	имеет место	4	2
202	иначе говоря	11	2
203	к его	2	2
204	гостьи с	2	2
205	в роли	2	2
206	даже в	2	2
207	времени в	4	2
208	и особенно	4	2
209	сочетании с	7	2
210	и тем	4	2
211	не с	4	2
212	в диалоге	2	2
213	как говорит	2	2
214	в целом	8	2
215	на уровне	9	2
216	во всех	4	2
217	вместе с	2	2
218	дело не	2	2
219	со стороны	3	2
220	этой системе	2	2
221	факторов художественного	6	2
222	собственно говоря	2	2
223	и для	2	2
224	я как	2	2
225	однако при	3	2
226	с одной	5	2
227	ментального внутреннего	3	2
228	в себя	4	2
229	в лирическом	2	2
230	тех или	2	2
231	феноменов ментального	2	2
232	самом начале	3	2
233	аналогичным образом	2	2
234	с точки	2	2
235	и даже	9	2
236	высказывания и	2	2
237	так же	2	2
238	роль в	2	2
239	композиционная форма	4	2
240	автора и	3	2
241	ритм манифестирован	2	2
242	ясно говорит	3	2
243	у него	4	2
244	в сочетании	7	2
245	на себя	5	2
246	как будто	3	2
247	художественное впечатление	2	2
248	не следует	2	2
249	о том	7	2
250	в организации	3	2
251	жизни но	2	2
252	в ритмическом	2	2
253	отношения к	2	2
254	я и	3	2
255	это было	2	2
