N	2gram	Tiupa_Teor_1	Dialekti
1	и не	13	30
2	а не	9	18
3	может быть	17	17
4	то что	3	16
5	и в	18	15
6	– в	15	15
7	как бы	5	14
8	точки зрения	9	14
9	того что	4	13
10	это не	2	12
11	прежде всего	2	11
12	и вот	3	11
13	в том	16	11
14	не может	4	11
15	говорить о	3	11
16	в этом	8	11
17	с ее	3	10
18	в основе	3	10
19	личности и	4	10
20	потому что	3	10
21	том что	9	10
22	и –	3	9
23	в виду	5	9
24	все это	2	9
25	и что	3	9
26	то же	7	9
27	уже не	4	9
28	с точки	3	9
29	ни в	2	8
30	не в	7	8
31	но –	2	8
32	в себе	9	8
33	и о	4	8
34	не только	16	8
35	и ее	3	8
36	и это	2	8
37	что в	9	7
38	как и	4	7
39	и его	8	7
40	или в	3	7
41	только в	6	7
42	перед нами	2	6
43	же время	5	6
44	хотя и	3	6
45	и тем	3	6
46	а именно	2	6
47	и даже	2	6
48	сказать что	3	6
49	вовсе не	3	6
50	если бы	3	6
51	в то	6	6
52	что и	2	6
53	я не	2	5
54	так и	10	5
55	в своем	4	5
56	можно сказать	3	5
57	– как	2	5
58	в нем	4	5
59	что она	2	5
60	– не	4	5
61	таким образом	3	5
62	именно в	3	5
63	мы имеем	7	5
64	с его	5	5
65	личности в	3	5
66	в жизни	2	5
67	субъекта и	2	5
68	то в	2	5
69	– это	18	5
70	в себя	3	5
71	если мы	2	5
72	и для	2	5
73	и как	2	4
74	в этой	3	4
75	есть в	2	4
76	один из	2	4
77	но и	9	4
78	тех или	3	4
79	так же	2	4
80	в одном	2	4
81	отнюдь не	3	4
82	этом смысле	2	4
83	– и	2	4
84	с их	2	4
85	еще не	4	4
86	как раз	2	4
87	в его	6	4
88	е о	2	3
89	личности как	2	3
90	тем самым	4	3
91	в свою	3	3
92	к жизни	2	3
93	в их	2	3
94	отношения к	2	3
95	все эти	2	3
96	но в	9	3
97	только не	2	3
98	об этом	2	3
99	у нас	2	3
100	за пределы	2	3
101	в своей	6	3
102	и потому	2	3
103	со стороны	2	3
104	быть и	2	3
105	как в	5	3
106	– все	3	3
107	и притом	2	3
108	в данном	8	3
109	и то	2	3
110	могут быть	4	3
111	в области	4	3
112	не менее	4	2
113	в противоположность	2	2
114	не могут	2	2
115	в частности	16	2
116	в отношении	3	2
117	из этих	3	2
118	заключается в	2	2
119	свою очередь	2	2
120	при этом	12	2
121	случае не	2	2
122	мог бы	3	2
123	в самом	4	2
124	от себя	3	2
125	совпадает с	3	2
126	никогда не	4	2
127	другой стороны	5	2
128	лишь в	6	2
129	в данный	2	2
130	и по	2	2
131	о ней	2	2
132	того или	3	2
133	как это	8	2
134	понятие о	2	2
135	личность –	2	2
136	тот кто	2	2
137	однако в	7	2
138	в них	2	2
139	в коем	2	2
140	в ее	5	2
141	не будет	2	2
142	в качестве	24	2
143	в аспекте	2	2
144	одной из	2	2
145	никто не	2	2
146	видим в	2	2
147	коем случае	2	2
148	тем не	3	2
149	себя в	6	2
150	данный момент	2	2
151	вместе с	2	2
152	ее в	2	2
153	или иначе	5	2
154	как будто	2	2
155	отношении к	2	2
156	в которой	2	2
157	отличие от	6	2
158	для меня	2	2
159	это было	2	2
