N	2gram	Potebnia_M_3	Otkroven
1	у него	2	22
2	и в	30	19
3	но и	19	13
4	и не	15	13
5	в этом	10	12
6	а не	15	11
7	не в	15	11
8	может быть	28	11
9	не только	21	11
10	человека и	5	10
11	и все	3	10
12	в нем	9	10
13	не было	4	9
14	в человеке	3	9
15	потому что	46	9
16	прежде всего	3	9
17	человек не	2	7
18	от него	2	7
19	он не	4	7
20	в его	4	7
21	все это	4	6
22	как и	10	6
23	то что	18	5
24	а в	12	5
25	отношение к	2	5
26	в том	32	5
27	человеке и	2	5
28	для него	9	5
29	в этой	2	5
30	в самом	8	5
31	того чтобы	3	4
32	что не	8	4
33	все в	2	4
34	и его	4	4
35	не может	6	4
36	что в	17	4
37	к нему	3	3
38	не могут	5	3
39	и есть	3	3
40	мысли и	2	3
41	что он	6	3
42	того что	18	3
43	для того	4	3
44	что человек	2	3
45	быть может	3	3
46	еще не	5	3
47	и от	4	3
48	могут быть	3	3
49	все что	4	3
50	в себе	16	3
51	было бы	9	3
52	никто не	3	3
53	о том	2	3
54	с ним	6	3
55	как бы	3	3
56	это было	3	3
57	уже в	5	2
58	все же	2	2
59	что и	13	2
60	не есть	17	2
61	в душе	10	2
62	с тем	7	2
63	природы и	2	2
64	так и	11	2
65	в своем	5	2
66	для человека	4	2
67	то к	3	2
68	частью в	2	2
69	что есть	2	2
70	что же	2	2
71	не все	4	2
72	что все	3	2
73	к этому	3	2
74	по себе	16	2
75	ко всем	2	2
76	не имеет	6	2
77	должно быть	5	2
78	в ее	2	2
79	в которой	3	2
80	природы в	2	2
81	в других	2	2
82	что для	4	2
83	том что	18	2
84	так что	7	2
85	и на	3	2
86	и то	8	2
87	что они	2	2
88	сказать что	5	2
89	и с	2	2
90	тем что	7	2
91	одно из	5	2
92	мысль о	5	2
93	его в	3	2
94	в своей	2	2
95	так как	13	2
96	и о	2	2
97	к ней	5	2
98	о любви	2	2
99	и потому	4	2
