N	2gram	Propp_Isto_3	Russkaja
1	не может	4	22
2	и не	12	19
3	в том	9	17
4	в этом	17	17
5	и в	22	14
6	то что	7	13
7	таким образом	10	11
8	то же	6	11
9	точки зрения	2	11
10	но и	12	10
11	в то	2	10
12	том что	8	9
13	не только	14	9
14	может быть	11	9
15	во всяком	2	9
16	прежде всего	3	8
17	к тому	3	7
18	в данном	4	7
19	мы должны	7	7
20	о том	3	7
21	и с	4	7
22	если бы	6	6
23	на самом	2	6
24	что он	9	6
25	и к	3	6
26	с тем	2	6
27	всяком случае	2	6
28	в своем	2	6
29	и для	2	6
30	вопрос о	2	5
31	и на	4	5
32	при этом	2	5
33	до сих	5	5
34	было бы	3	5
35	он не	5	5
36	никогда не	3	5
37	в нем	9	5
38	сих пор	5	5
39	а в	6	5
40	потому что	3	5
41	только в	4	5
42	между тем	2	5
43	но не	7	4
44	что в	15	4
45	как и	3	4
46	все что	3	4
47	ли это	2	4
48	себе и	2	4
49	все же	5	4
50	жизни и	2	4
51	вместе с	9	4
52	со стороны	3	4
53	не в	4	4
54	и то	2	4
55	в этой	5	4
56	в его	3	4
57	его в	3	4
58	так как	7	4
59	для них	3	3
60	можно ли	3	3
61	на том	3	3
62	из этих	3	3
63	этом случае	5	3
64	всех этих	2	3
65	да и	2	3
66	и как	3	3
67	в другом	2	3
68	что они	8	3
69	в качестве	2	3
70	еще не	10	3
71	знаем что	2	3
72	и потому	2	3
73	то это	2	3
74	что и	9	3
75	и т	16	3
76	из них	7	3
77	данном случае	3	3
78	не было	2	3
79	того что	5	3
80	друг друга	6	3
81	или в	11	3
82	тем что	4	3
83	в виде	2	3
84	связи с	6	3
85	одна из	2	3
86	и более	2	2
87	переносится на	2	2
88	и есть	2	2
89	в частности	5	2
90	у него	3	2
91	все члены	2	2
92	друг другу	2	2
93	его и	4	2
94	и от	3	2
95	с этим	8	2
96	точно так	2	2
97	так часто	2	2
98	этот вопрос	2	2
99	состоит в	3	2
100	ни в	2	2
101	уже не	7	2
102	так что	5	2
103	но это	3	2
104	от него	2	2
105	есть и	5	2
106	она не	4	2
107	совершенно не	2	2
108	и о	2	2
109	в ней	2	2
110	на это	2	2
111	в котором	2	2
112	для нее	2	2
113	для нас	4	2
114	в некоторых	5	2
115	быть и	3	2
116	но она	2	2
117	ее в	3	2
118	даже не	2	2
119	целый ряд	3	2
120	по отношению	2	2
121	если не	2	2
122	в течение	6	2
123	все эти	4	2
124	и вот	2	2
125	только на	2	2
126	и что	2	2
127	а не	6	2
128	и даже	2	2
129	к нему	5	2
130	так же	3	2
131	в других	4	2
132	во многих	2	2
133	их в	3	2
134	в силу	2	2
135	мы можем	6	2
136	на себя	2	2
137	мы уже	6	2
138	во время	6	2
139	как будто	2	2
140	в этих	11	2
141	большинстве случаев	2	2
142	но в	10	2
