N	2gram	Medvedev_F_2	VerxiiNi
1	и в	38	26
2	таким образом	20	22
3	с тем	11	18
4	вместе с	6	15
5	в этом	27	15
6	точки зрения	8	13
7	как бы	4	12
8	в том	11	11
9	может быть	23	10
10	не только	9	10
11	и с	9	10
12	из этих	3	10
13	связи с	13	9
14	что в	7	9
15	но и	13	9
16	в области	3	9
17	так как	4	9
18	с другой	3	8
19	главным образом	3	8
20	но не	2	8
21	в общем	5	8
22	и не	20	8
23	том что	2	7
24	но все	3	7
25	из них	4	7
26	к нему	3	7
27	то что	6	7
28	в эпоху	2	7
29	потому что	2	7
30	но в	4	7
31	в конце	2	6
32	представление о	2	6
33	к тому	4	6
34	всяком случае	5	6
35	что и	8	6
36	все же	8	6
37	так и	8	6
38	все это	3	6
39	все эти	6	6
40	с точки	7	6
41	во всяком	5	6
42	и к	4	5
43	отношение к	2	5
44	в его	10	5
45	никогда не	2	5
46	лишь в	7	5
47	а не	6	5
48	того чтобы	3	5
49	для того	3	5
50	не имеет	2	5
51	и для	5	5
52	должен был	2	4
53	в этих	2	4
54	и от	2	4
55	что он	5	4
56	в нем	13	4
57	в самом	16	4
58	в котором	2	4
59	не может	14	4
60	и только	5	4
61	а в	6	4
62	то же	6	4
63	что оно	4	4
64	и по	2	4
65	с другими	10	4
66	ничем не	2	4
67	он не	6	4
68	в то	5	4
69	только в	6	4
70	в этой	6	4
71	по учению	4	3
72	же как	3	3
73	и другие	2	3
74	что это	3	3
75	если бы	5	3
76	подойти к	2	3
77	как о	4	3
78	хотя бы	6	3
79	к этому	4	3
80	для него	7	3
81	с самого	2	3
82	и как	3	3
83	в качестве	2	3
84	и о	2	3
85	если в	3	3
86	к сожалению	2	3
87	в связи	10	3
88	при этом	9	3
89	уже не	7	3
90	в значительной	3	3
91	того что	3	3
92	и даже	4	3
93	в которой	2	3
94	в таком	2	3
95	в результате	6	3
96	конце концов	2	3
97	в других	7	3
98	уже в	2	2
99	не могут	7	2
100	самого начала	2	2
101	с его	11	2
102	он в	2	2
103	именно в	5	2
104	состоит в	2	2
105	превращается в	2	2
106	не как	4	2
107	прежде всего	15	2
108	именно из	2	2
109	к его	2	2
110	и здесь	3	2
111	его от	4	2
112	по существу	7	2
113	то ни	2	2
114	мы видели	4	2
115	должна была	2	2
116	что именно	2	2
117	же время	5	2
118	должно было	3	2
119	один из	2	2
120	что о	2	2
121	не к	2	2
122	жизни и	3	2
123	во всех	5	2
124	в процессе	9	2
125	быть и	3	2
126	приводит к	2	2
127	для этого	2	2
128	особенно в	3	2
129	не было	6	2
130	этом отношении	7	2
131	между этими	3	2
132	быть даже	2	2
133	его не	2	2
134	нее не	2	2
135	и на	3	2
136	сказать что	2	2
137	не в	15	2
138	и наконец	4	2
139	совершенно иной	2	2
140	тем и	2	2
141	ее с	2	2
142	и все	3	2
143	и это	2	2
144	из этого	2	2
145	этими двумя	2	2
146	между тем	2	2
147	в виду	2	2
148	из него	2	2
