N	3gram	Vygotskiy__6	Myslijsy
1	в том что	19	16
2	от того что	6	5
3	по отношению к	10	5
4	с другой стороны	2	4
5	в то время	6	4
6	вместе с тем	2	4
7	в том смысле	2	3
8	до сих пор	3	3
9	не может быть	2	3
10	для того чтобы	8	3
11	потому что он	4	3
12	можно сказать что	6	2
13	на первых порах	2	2
14	в том же	2	2
15	и той же	3	2
16	к тому что	7	2
17	в этом отношении	3	2
18	то что мы	2	2
19	в первом случае	3	2
20	том что оно	3	2
21	не могут быть	2	2
22	не только не	2	2
23	с тем и	2	2
24	одной и той	3	2
