N	2gram	Bakhtin_Fr_1	Psycholo
1	то что	3	32
2	и в	65	31
3	в том	16	30
4	то есть	45	26
5	что в	3	23
6	может быть	6	22
7	при этом	6	19
8	так как	6	18
9	не может	3	17
10	как и	5	16
11	том что	6	16
12	и не	22	16
13	искусства и	6	15
14	точки зрения	7	15
15	только в	7	14
16	не только	10	13
17	в этом	15	12
18	в самом	4	11
19	могут быть	2	11
20	не в	4	11
21	в области	7	11
22	в сущности	16	10
23	того что	2	10
24	потому что	5	10
25	как в	5	9
26	самом деле	3	9
27	никогда не	6	8
28	все это	9	8
29	что мы	2	8
30	что он	3	7
31	есть в	5	7
32	и его	10	7
33	сказать что	6	7
34	о том	2	7
35	вовсе не	18	6
36	одной стороны	2	6
37	до конца	2	6
38	из этих	2	6
39	и даже	8	6
40	в его	9	6
41	формы и	7	5
42	и все	5	5
43	не является	3	5
44	в ее	3	5
45	все же	6	5
46	мы видим	2	5
47	с одной	2	5
48	для нас	4	5
49	несмотря на	2	5
50	совершенно не	4	5
51	как бы	22	5
52	в целом	2	5
53	в процессе	2	5
54	и для	2	5
55	с другой	3	5
56	к тому	2	4
57	и другие	8	4
58	в виду	3	4
59	прежде всего	11	4
60	и так	2	4
61	в себе	3	4
62	отличие от	5	4
63	в этих	2	4
64	и у	6	4
65	в своих	5	4
66	в искусстве	3	4
67	между тем	5	4
68	не могут	3	3
69	в частности	5	3
70	именно эти	2	3
71	в своем	8	3
72	в состоянии	3	3
73	и к	4	3
74	но это	3	3
75	но не	2	3
76	до сих	4	3
77	например в	2	3
78	в этой	4	3
79	хотя и	2	3
80	он не	2	3
81	сих пор	4	3
82	от всех	3	3
83	жизни и	7	3
84	в своей	5	3
85	так и	10	3
86	только на	2	3
87	в отличие	4	3
88	и других	3	3
89	от того	2	3
90	и вот	2	3
91	и по	2	3
92	роль в	2	3
93	в таком	2	3
94	во всем	2	3
95	и это	2	3
96	но в	14	3
97	выражения и	2	2
98	в основе	8	2
99	этих двух	2	2
100	в книге	2	2
101	главным образом	6	2
102	и без	2	2
103	в них	5	2
104	у шекспира	3	2
105	и во	3	2
106	и от	2	2
107	в применении	3	2
108	в жизни	4	2
109	это в	4	2
110	с ним	3	2
111	и здесь	3	2
112	нам придется	2	2
113	мы найдем	2	2
114	уже не	3	2
115	из всех	2	2
116	и потому	10	2
117	это можно	2	2
118	в прошлое	2	2
119	и их	3	2
120	и очень	2	2
121	далеко не	3	2
122	к жизни	2	2
123	даже в	3	2
124	в нем	13	2
125	отношение к	4	2
126	из них	4	2
127	но и	10	2
128	мысли и	4	2
129	приводит к	2	2
130	как мы	6	2
131	как раз	3	2
132	этом отношении	3	2
133	на самом	6	2
134	в себя	3	2
135	в живописи	2	2
136	применении к	3	2
137	к нему	3	2
138	есть только	2	2
139	с точки	3	2
140	от него	2	2
141	отметить что	2	2
142	в чем	2	2
143	ничего не	3	2
144	их в	2	2
145	бы ни	2	2
146	и с	3	2
147	одно из	6	2
148	но как	3	2
149	его в	7	2
150	в одном	5	2
