N	2gram	Losev_Dial_3	EvropaiE
1	и в	24	37
2	точки зрения	25	23
3	что в	7	21
4	не только	23	18
5	с точки	14	17
6	в то	5	16
7	хотя бы	4	15
8	то же	6	15
9	в своем	3	14
10	же время	3	14
11	но и	9	14
12	и не	27	14
13	но в	2	14
14	в этом	8	12
15	в их	2	11
16	в том	5	11
17	так и	5	10
18	отнюдь не	10	9
19	прежде всего	8	9
20	в смысле	2	9
21	не может	19	9
22	т е	48	9
23	в себе	2	9
24	только в	5	9
25	так же	4	9
26	думать что	2	8
27	к тому	4	8
28	одной стороны	3	8
29	было бы	5	8
30	с одной	3	8
31	как и	7	7
32	того что	12	7
33	с другой	4	7
34	также и	2	7
35	так как	6	7
36	с этой	5	6
37	вовсе не	13	6
38	том что	8	6
39	может быть	13	6
40	для того	3	6
41	на то	3	6
42	как бы	3	6
43	то что	14	6
44	и даже	13	6
45	и на	3	6
46	же как	2	5
47	в частности	2	5
48	не в	3	5
49	но не	2	5
50	но если	6	5
51	со стороны	2	5
52	как мы	2	5
53	тем самым	3	5
54	и по	2	5
55	в виде	8	5
56	этой точки	2	5
57	и потому	2	5
58	но даже	3	4
59	именно в	2	4
60	вопрос о	5	4
61	или иного	2	4
62	или иной	4	4
63	бы то	2	4
64	само по	5	4
65	несмотря на	2	4
66	в самом	7	4
67	то в	2	4
68	в ней	2	4
69	той или	2	4
70	по себе	20	4
71	для нас	2	4
72	не на	6	4
73	мы не	5	4
74	и притом	5	4
75	не имеет	11	4
76	сказать что	4	4
77	тем более	3	4
78	в каком	3	4
79	того или	3	4
80	как это	5	4
81	и к	5	3
82	но на	2	3
83	уже и	3	3
84	можно ли	5	3
85	никогда не	7	3
86	в них	5	3
87	вообще не	2	3
88	и от	3	3
89	на себя	3	3
90	из них	3	3
91	всяком случае	2	3
92	и тем	2	3
93	что и	6	3
94	говорит о	4	3
95	не будет	3	3
96	ее в	2	3
97	и только	6	3
98	и для	2	3
99	и прежде	3	3
100	как на	5	3
101	в таком	14	3
102	потому что	7	3
103	во всяком	2	3
104	тем что	3	3
105	ни на	3	3
106	в данном	2	3
107	о том	6	3
108	мира и	3	3
109	что все	14	2
110	не могут	4	2
111	а не	26	2
112	и во	2	2
113	с этим	3	2
114	и все	6	2
115	к нему	3	2
116	из того	2	2
117	утверждать что	6	2
118	есть не	9	2
119	при условии	3	2
120	и можно	2	2
121	же в	2	2
122	как же	5	2
123	есть ли	5	2
124	и как	8	2
125	это значит	24	2
126	в силу	3	2
127	есть в	3	2
128	что если	2	2
129	но как	2	2
130	должна быть	6	2
131	не можем	2	2
132	в сферу	3	2
133	что это	12	2
134	не говоря	2	2
135	и если	2	2
136	она не	3	2
137	но еще	2	2
138	нас к	2	2
139	он не	5	2
140	в его	2	2
141	только к	2	2
142	точка зрения	5	2
143	говоря уже	2	2
144	не есть	54	2
145	при помощи	3	2
146	ее от	2	2
147	только одно	2	2
148	жизни и	5	2
149	как не	2	2
150	к природе	3	2
151	на основании	2	2
152	целый ряд	2	2
153	что же	11	2
154	а в	2	2
155	таким образом	13	2
156	если бы	6	2
157	на них	2	2
158	а именно	2	2
159	и что	15	2
160	можно утверждать	2	2
161	другой стороны	2	2
162	и тут	3	2
163	или в	2	2
164	меньше чем	2	2
165	в своих	2	2
166	и с	6	2
167	хотя и	5	2
168	могут быть	2	2
169	и то	4	2
170	в истории	4	2
171	его на	2	2
172	бы в	2	2
173	тогда когда	5	2
