N	3gram	Vinokur_Ku_2	Myshleni
1	в том что	10	17
2	вместе с тем	2	10
3	для того чтобы	8	7
4	так же как	2	6
5	в отличие от	2	6
6	можно было бы	9	5
7	тем не менее	5	5
8	в зависимости от	4	5
9	в связи с	3	5
10	во всяком случае	5	4
11	то обстоятельство что	7	3
12	на то что	2	3
13	с другой стороны	7	3
14	в этом отношении	3	3
15	только потому что	6	2
16	в свою очередь	2	2
17	того или иного	2	2
18	само по себе	5	2
19	только в том	2	2
20	с этой точки	2	2
21	этой точки зрения	2	2
22	не может быть	4	2
23	в этом смысле	5	2
