N	2gram	Tiupa_Anal_3	Komedia
1	и в	18	22
2	и не	12	21
3	том что	12	13
4	в том	9	12
5	таким образом	4	12
6	со стороны	9	11
7	в самом	5	9
8	вместе с	2	9
9	в своем	4	8
10	что он	4	8
11	в его	7	8
12	что и	5	8
13	в глазах	2	8
14	в этом	14	8
15	о том	6	8
16	его в	3	8
17	о чем	4	7
18	об этом	2	7
19	при этом	11	7
20	в свою	5	7
21	то же	3	7
22	едва ли	3	7
23	а в	10	7
24	в конце	5	7
25	к этому	3	6
26	тому же	3	6
27	свою очередь	4	6
28	того же	5	6
29	еще не	6	6
30	к тому	6	6
31	может быть	9	6
32	как раз	7	6
33	самом деле	2	6
34	и его	13	6
35	в то	3	6
36	не менее	4	5
37	что в	9	5
38	же время	3	5
39	прежде всего	5	5
40	как это	3	5
41	и сам	4	5
42	хотя и	2	5
43	не только	22	5
44	все это	3	5
45	по отношению	7	5
46	он не	6	5
47	тем что	2	5
48	любви к	2	5
49	более чем	2	5
50	но в	2	5
51	с тем	2	4
52	отнюдь не	4	4
53	однако в	5	4
54	с другой	7	4
55	и здесь	2	4
56	все же	4	4
57	не в	6	4
58	несмотря на	2	4
59	в ней	2	4
60	то что	2	4
61	когда он	2	4
62	но и	13	4
63	что она	2	4
64	то ли	2	4
65	а не	9	4
66	и для	2	4
67	точки зрения	3	4
68	на себя	2	4
69	в себе	2	4
70	так и	14	4
71	не является	5	4
72	с его	8	3
73	в частности	12	3
74	никогда не	5	3
75	в них	2	3
76	в глаза	2	3
77	с этим	3	3
78	в нем	2	3
79	далеко не	4	3
80	и к	4	3
81	тем не	2	3
82	в ее	3	3
83	как и	14	3
84	в начале	6	3
85	в этой	6	3
86	по своему	2	3
87	который в	3	3
88	одной стороны	2	3
89	было бы	3	3
90	как бы	10	3
91	один из	2	3
92	отношению к	7	3
93	в целом	3	3
94	тех пор	2	3
95	судя по	2	3
96	приводит к	4	3
97	дело с	3	3
98	не может	2	3
99	не могла	2	3
100	с одной	2	3
101	что не	3	3
102	с точки	2	3
103	столь же	4	3
104	и даже	8	3
105	мы можем	2	3
106	во всяком	2	3
107	представляет собой	5	3
108	говорить о	3	3
109	ничего не	3	3
110	всяком случае	2	3
111	уже в	3	2
112	состоит в	4	2
113	конечном счете	2	2
114	в качестве	12	2
115	и без	3	2
116	не как	2	2
117	как в	3	2
118	не будет	3	2
119	это не	2	2
120	и все	2	2
121	в одном	4	2
122	о его	2	2
123	о которой	2	2
124	отличие от	2	2
125	что они	3	2
126	в пределах	4	2
127	не мог	2	2
128	совершенно не	2	2
129	на его	2	2
130	в сущности	5	2
131	известной степени	3	2
132	в конечном	2	2
133	в свое	2	2
134	а также	2	2
135	и он	2	2
136	не с	2	2
137	во всех	2	2
138	дело не	3	2
139	в их	6	2
140	другой стороны	5	2
141	вплоть до	2	2
142	его не	3	2
143	отношения к	2	2
144	не было	3	2
145	этом отношении	3	2
146	мы не	3	2
147	в мире	5	2
148	после чего	2	2
149	роль в	3	2
150	от своей	2	2
151	и на	4	2
152	здесь и	3	2
153	ли не	4	2
154	в результате	5	2
155	между тем	5	2
156	нуждается в	2	2
157	что касается	3	2
158	он и	3	2
159	и ее	2	2
160	что мы	2	2
161	здесь не	3	2
162	всего лишь	8	2
