N	2gram	Tiupa_Disk_2	Problemy
1	и в	16	34
2	и не	15	29
3	как бы	4	27
4	что он	2	23
5	в его	3	22
6	может быть	16	19
7	в нем	7	19
8	не может	9	19
9	и все	3	19
10	как и	16	18
11	себе самому	2	18
12	но в	11	16
13	все это	2	16
14	и его	3	16
15	в этом	16	16
16	и с	2	15
17	прежде всего	7	15
18	он не	3	15
19	то же	6	14
20	для него	5	13
21	но и	11	12
22	же время	5	12
23	потому что	4	12
24	в то	5	12
25	то что	5	11
26	не только	10	10
27	не в	3	9
28	а не	14	9
29	никогда не	2	8
30	точки зрения	4	8
31	рассказа в	2	8
32	что же	2	8
33	и для	2	8
34	в другом	3	8
35	что в	5	7
36	все же	6	7
37	как будто	3	7
38	в пределах	4	6
39	отношение к	2	6
40	стремится к	2	6
41	не знает	3	6
42	и на	5	6
43	с его	6	6
44	для себя	2	6
45	отношению к	4	6
46	так и	9	6
47	в себе	19	6
48	только в	3	6
49	это не	3	5
50	в целом	2	5
51	из них	3	5
52	по отношению	4	5
53	а в	2	5
54	и наконец	3	5
55	в одном	4	5
56	что и	2	5
57	к своему	2	5
58	героя в	5	5
59	с другой	5	4
60	ни в	7	4
61	но это	3	4
62	при этом	17	4
63	не о	2	4
64	все эти	3	4
65	его в	3	4
66	но не	7	4
67	еще не	6	4
68	с таким	2	4
69	внутренней речи	3	4
70	как в	8	4
71	и прежде	2	4
72	в мире	11	4
73	с точки	2	4
74	я в	5	4
75	и это	2	4
76	вместе с	2	4
77	не менее	7	3
78	в том	8	3
79	такой же	2	3
80	в котором	3	3
81	с ее	2	3
82	жизни и	3	3
83	другой стороны	2	3
84	должно быть	2	3
85	их в	2	3
86	в ней	2	3
87	говорить о	2	3
88	и другого	2	3
89	том что	10	3
90	между тем	2	3
91	еще в	3	3
92	в своей	6	3
93	а с	5	3
94	сводится к	2	3
95	и как	3	3
96	и то	4	3
97	в записках	2	3
98	далеко не	2	3
99	в творчестве	3	3
100	не было	3	2
101	столь же	3	2
102	это в	2	2
103	вследствие этого	2	2
104	этом случае	2	2
105	или иной	3	2
106	в большинстве	2	2
107	было в	3	2
108	например в	3	2
109	при всей	7	2
110	совпадает с	2	2
111	ну как	2	2
112	не является	4	2
113	в своем	5	2
114	я как	2	2
115	чем не	2	2
116	как на	3	2
117	той или	3	2
118	о том	4	2
119	рассказ в	2	2
120	я и	4	2
121	мире и	3	2
122	отнюдь не	6	2
123	в них	3	2
124	не с	2	2
125	и того	3	2
126	а к	2	2
127	того же	2	2
128	слова не	2	2
129	своего рода	10	2
130	в отличие	12	2
131	входит в	2	2
132	другого в	2	2
133	в той	2	2
134	уже не	3	2
135	речи в	2	2
136	той же	2	2
137	тому как	2	2
138	пока еще	2	2
139	подобно тому	2	2
140	всей своей	3	2
141	и ее	3	2
142	отличие от	12	2
143	о чем	2	2
