N	3gram	Vygotskiy__1	Myslijsy
1	в том что	9	16
2	только тогда когда	4	7
3	смысле этого слова	2	7
4	от того что	2	5
5	а в том	2	5
6	не в том	5	5
7	с другой стороны	5	4
8	в то время	5	4
9	по себе а	2	4
10	вместе с тем	2	4
11	то есть к	2	3
12	само по себе	5	3
13	в произведении искусства	2	3
14	тем не менее	2	3
15	до сих пор	3	3
16	более или менее	2	3
17	и т д	8	3
18	с одной стороны	5	3
19	не может быть	8	3
20	что и в	2	3
21	только в том	3	3
22	для того чтобы	5	3
23	потому что он	2	3
24	что мы не	2	2
25	и той же	3	2
26	в собственном смысле	3	2
27	мы не можем	2	2
28	и в самом	2	2
29	в этом отношении	2	2
30	из этих слов	2	2
31	к чувственному образу	2	2
32	так и в	2	2
33	в таком случае	2	2
34	как и в	4	2
35	сама по себе	2	2
36	в том чтобы	7	2
37	то что я	2	2
38	не только не	3	2
39	и т п	15	2
40	подобно тому как	5	2
41	одной и той	3	2
42	что внутренняя форма	2	2
