N	2gram	Tiupa_Disk_1	SlovoVZh
1	не может	9	16
2	точки зрения	3	14
3	может быть	17	14
4	и его	2	13
5	как бы	5	13
6	таким образом	3	12
7	и в	16	12
8	отношению к	9	11
9	по отношению	9	11
10	и не	11	10
11	прежде всего	11	8
12	сказать что	3	7
13	в нем	9	6
14	в процессе	5	6
15	при этом	13	6
16	в том	23	6
17	только в	7	6
18	к содержанию	3	6
19	и др	2	5
20	то что	5	5
21	никогда не	2	5
22	а не	22	5
23	можно сказать	5	5
24	то же	7	5
25	хотя бы	3	5
26	как и	16	5
27	том что	19	5
28	отнюдь не	8	5
29	как в	10	5
30	героя и	2	5
31	но в	8	5
32	в виду	2	5
33	и к	4	4
34	все же	3	4
35	отношение к	4	4
36	так и	8	4
37	с другой	10	4
38	уже не	4	4
39	что не	4	4
40	в литературе	2	4
41	не в	7	4
42	в этом	15	4
43	и на	5	4
44	в самом	3	4
45	за пределы	2	4
46	не только	28	4
47	социального взаимодействия	2	3
48	в котором	5	3
49	в них	4	3
50	точка зрения	2	3
51	не менее	2	3
52	когда он	2	3
53	в своей	5	3
54	как к	2	3
55	и по	2	3
56	и вообще	2	3
57	по себе	3	3
58	но и	14	3
59	того что	3	3
60	и герой	2	3
61	о том	8	3
62	и ее	2	3
63	в себе	7	3
64	для него	4	3
65	в пределах	2	3
66	еще не	14	3
67	внутренней речи	2	3
68	между тем	4	3
69	уже в	2	2
70	частной жизни	2	2
71	зависит от	2	2
72	с его	4	2
73	что и	3	2
74	что в	4	2
75	как не	3	2
76	данном случае	2	2
77	между собой	2	2
78	в форме	2	2
79	в своем	6	2
80	в какой	2	2
81	другой стороны	3	2
82	это не	3	2
83	дело с	2	2
84	мы имеем	2	2
85	и все	2	2
86	в особенности	4	2
87	тому же	5	2
88	за его	2	2
89	по природе	5	2
90	с одной	9	2
91	к этому	2	2
92	в себя	5	2
93	и что	2	2
94	едва ли	2	2
95	не есть	2	2
96	но зато	2	2
97	его как	2	2
98	высказывания и	2	2
99	же самое	2	2
100	стороны и	2	2
101	форма высказывания	2	2
102	но отнюдь	2	2
103	более того	2	2
104	в данном	5	2
105	в момент	2	2
106	общения не	2	2
107	но не	11	2
108	могут быть	4	2
109	высказывания с	2	2
110	в то	3	2
111	одной стороны	9	2
112	общения и	2	2
113	имеет место	3	2
114	как уже	3	2
115	оно не	2	2
116	к ним	3	2
117	к его	2	2
118	совпадает с	2	2
119	известной степени	2	2
120	в его	7	2
121	и потому	3	2
