N	2gram	Losev_Prob_4	Sovremen
1	не может	5	17
2	точки зрения	14	12
3	может быть	9	12
4	таким образом	8	11
5	мы не	7	9
6	в этом	9	7
7	и в	20	7
8	каждый раз	5	6
9	и не	28	6
10	как и	6	6
11	в результате	8	6
12	мы можем	3	6
13	прежде всего	11	5
14	все эти	16	5
15	и наконец	4	5
16	с точки	11	5
17	в условиях	3	5
18	как бы	4	4
19	нет и	2	4
20	если мы	5	4
21	жизни и	5	4
22	вместе с	5	4
23	в зависимости	3	4
24	это не	7	4
25	а в	4	4
26	не только	24	4
27	в том	20	4
28	из них	3	4
29	мы должны	3	4
30	зависимости от	3	4
31	так как	5	4
32	уже в	4	3
33	все же	2	3
34	на этой	2	3
35	отнюдь не	10	3
36	между собой	2	3
37	все это	9	3
38	отличается от	4	3
39	в конце	2	3
40	то же	7	3
41	ясно что	7	3
42	в нем	5	3
43	а не	7	3
44	и к	3	3
45	для нас	6	3
46	у нас	14	3
47	когда мы	5	3
48	не в	13	3
49	в этой	4	3
50	еще не	7	3
51	при этом	6	3
52	было бы	14	3
53	в два	2	3
54	в одном	4	3
55	и все	8	3
56	в себе	12	3
57	в области	3	3
58	что она	4	3
59	но в	8	3
60	и потому	7	3
61	совершенно не	3	2
62	только один	2	2
63	что это	2	2
64	не менее	10	2
65	и есть	4	2
66	в виде	22	2
67	для его	2	2
68	не будем	2	2
69	можно назвать	2	2
70	в нашем	12	2
71	как угодно	2	2
72	то и	5	2
73	и во	4	2
74	еще более	2	2
75	как мы	3	2
76	уже не	5	2
77	или иной	13	2
78	самом деле	3	2
79	и что	2	2
80	из которых	3	2
81	и даже	9	2
82	и по	2	2
83	тем не	10	2
84	только так	2	2
85	в таком	6	2
86	но все	3	2
87	тот или	2	2
88	во всяком	8	2
89	времени и	4	2
90	с этим	4	2
91	что в	3	2
92	говорить о	2	2
93	тот же	2	2
94	со всеми	2	2
95	же самое	6	2
96	на его	2	2
97	такого рода	7	2
98	в самом	2	2
99	ни одна	2	2
100	в которой	2	2
101	в его	3	2
102	всяком случае	4	2
