N	2gram	Losev_Vlad_1	Russkaja
1	не может	6	22
2	и не	17	19
3	в том	11	17
4	в этом	14	17
5	и в	31	14
6	то что	18	13
7	таким образом	3	11
8	то же	6	11
9	точки зрения	2	11
10	же время	4	10
11	но и	19	10
12	в то	8	10
13	том что	14	9
14	не только	24	9
15	в себе	4	9
16	может быть	6	9
17	во всяком	2	9
18	того чтобы	2	8
19	как на	2	8
20	отнюдь не	3	7
21	к тому	3	7
22	и если	5	7
23	мы должны	2	7
24	о том	11	7
25	и с	14	7
26	что он	12	6
27	и к	6	6
28	с тем	2	6
29	для него	7	6
30	для того	2	6
31	всяком случае	2	6
32	все это	5	6
33	в своем	4	6
34	и для	2	6
35	в своих	5	6
36	в россии	4	6
37	хотя бы	2	5
38	на то	5	5
39	и на	3	5
40	при этом	2	5
41	было бы	2	5
42	конечно не	2	5
43	в своей	4	5
44	он не	10	5
45	никогда не	9	5
46	в нем	4	5
47	по существу	2	5
48	а в	9	5
49	потому что	11	5
50	только в	9	5
51	но не	3	4
52	что в	14	4
53	как и	4	4
54	более или	3	4
55	все что	2	4
56	он будет	2	4
57	все же	3	4
58	себя в	4	4
59	жизни и	5	4
60	вместе с	3	4
61	со стороны	2	4
62	или менее	3	4
63	что же	5	4
64	не в	5	4
65	и то	10	4
66	в этой	4	4
67	во всем	4	4
68	в его	12	4
69	которой он	5	4
70	так как	8	4
71	к этой	2	4
72	он сам	2	3
73	из этих	2	3
74	в конце	9	3
75	что все	2	3
76	главным образом	4	3
77	да и	4	3
78	и как	4	3
79	лишь в	2	3
80	что они	3	3
81	в качестве	6	3
82	еще не	2	3
83	несмотря на	4	3
84	в самом	2	3
85	том чтобы	2	3
86	одной из	2	3
87	знаем что	2	3
88	и потому	6	3
89	но мы	2	3
90	что и	5	3
91	и т	2	3
92	из них	2	3
93	только к	3	3
94	в вопросах	2	3
95	россии и	2	3
96	не было	5	3
97	и сейчас	2	3
98	того что	2	3
99	и по	8	3
100	что для	4	3
101	тем что	2	3
102	в виде	3	3
103	о котором	2	3
104	из этого	2	3
105	конце концов	3	3
106	и ни	2	3
107	место в	2	2
108	а с	5	2
109	нисколько не	2	2
110	в частности	2	2
111	у него	15	2
112	по этому	2	2
113	в меру	2	2
114	но даже	2	2
115	и от	5	2
116	к себе	2	2
117	ясно что	2	2
118	ни в	2	2
119	уже не	3	2
120	так что	10	2
121	но это	3	2
122	от него	2	2
123	вся эта	3	2
124	указывает на	2	2
125	что с	2	2
126	и тот	2	2
127	совершенно не	2	2
128	и о	2	2
129	на это	2	2
130	в котором	6	2
131	для нее	2	2
132	для себя	2	2
133	этом и	2	2
134	для нас	4	2
135	на такой	2	2
136	но она	3	2
137	на основании	2	2
138	даже не	2	2
139	в россию	5	2
140	если не	3	2
141	в течение	9	2
142	все эти	3	2
143	и вот	3	2
144	только на	3	2
145	и что	6	2
146	тем самым	2	2
147	что такое	2	2
148	и даже	15	2
149	к нему	4	2
150	в результате	2	2
151	больше чем	2	2
152	даже и	9	2
153	на себя	3	2
154	мы уже	7	2
155	в начале	3	2
156	во время	3	2
157	с ним	5	2
158	но в	12	2
