N	2gram	Losev_Prob_5	slovoVRo
1	и в	30	41
2	в нем	6	30
3	то есть	21	26
4	но и	13	16
5	и не	12	16
6	точки зрения	10	16
7	не только	18	16
8	а не	5	15
9	то же	2	14
10	может быть	7	14
11	не может	5	14
12	и его	6	14
13	и на	6	14
14	в то	4	14
15	в его	12	13
16	как бы	6	12
17	в этом	17	12
18	так и	7	11
19	таким образом	13	9
20	все эти	2	9
21	прежде всего	6	8
22	на его	2	8
23	но в	9	8
24	как в	2	8
25	как мы	2	8
26	с точки	8	8
27	или в	4	8
28	не в	7	7
29	отношение к	2	7
30	с ним	3	7
31	вовсе не	8	7
32	в своей	22	7
33	все же	9	7
34	во всяком	2	7
35	в отношении	3	6
36	того же	4	6
37	это не	2	6
38	при этом	4	6
39	и даже	14	6
40	а в	6	6
41	в них	2	6
42	только в	9	6
43	с другой	6	5
44	в самом	5	5
45	всяком случае	2	5
46	и к	4	5
47	еще более	3	5
48	к нему	3	5
49	он в	3	5
50	далеко не	4	5
51	кроме того	2	4
52	одной стороны	3	4
53	в ней	3	4
54	один из	2	4
55	с одной	3	4
56	и с	5	4
57	в которой	5	4
58	и все	9	4
59	ли он	2	4
60	как и	7	4
61	в смысле	4	4
62	здесь в	2	4
63	еще не	3	4
64	другой стороны	6	4
65	и для	6	4
66	ничего не	2	4
67	не могут	2	3
68	все время	3	3
69	никогда не	7	3
70	хотя бы	2	3
71	или к	2	3
72	к тому	2	3
73	в том	12	3
74	и сам	4	3
75	в свою	2	3
76	в большей	2	3
77	из них	2	3
78	данном случае	2	3
79	в своем	11	3
80	именно в	3	3
81	того что	3	3
82	в других	3	3
83	также и	12	3
84	в результате	7	3
85	о том	12	3
86	его в	6	3
87	так как	6	3
88	поэтому и	2	3
89	у него	11	3
90	в себе	4	3
91	с этой	2	3
92	по существу	2	3
93	в качестве	4	3
94	было бы	4	3
95	конечно не	2	3
96	он не	3	3
97	из этого	4	3
98	при всем	2	3
99	в данном	2	3
100	в частности	4	2
101	можно сказать	6	2
102	для нас	10	2
103	так что	11	2
104	мы и	2	2
105	что они	3	2
106	смысле слова	3	2
107	такого рода	2	2
108	для того	3	2
109	хотя и	8	2
110	и тем	3	2
111	уже не	6	2
112	точке зрения	2	2
113	жизнь в	3	2
114	так же	5	2
115	время как	3	2
116	сказать что	9	2
117	потому что	13	2
118	но он	5	2
119	между тем	2	2
120	нисколько не	5	2
121	в котором	2	2
122	для них	3	2
123	в одном	3	2
124	в духе	3	2
125	к этому	2	2
126	у нас	7	2
127	том что	17	2
128	но не	7	2
129	то время	3	2
130	до сих	2	2
131	и о	5	2
132	а также	3	2
133	сих пор	2	2
134	в ее	3	2
135	и речи	2	2
136	как раз	5	2
137	в атмосфере	2	2
138	а с	4	2
139	и у	5	2
140	мы не	2	2
141	можно было	2	2
142	нас в	4	2
143	и то	5	2
144	от этого	3	2
145	быть только	3	2
146	в виде	10	2
147	в другом	3	2
148	связи с	7	2
149	и вообще	9	2
150	здесь не	7	2
