N	2gram	Vygotskiy__5	formyVre
1	и в	16	46
2	в этом	25	22
3	прежде всего	3	14
4	вовсе не	2	13
5	и его	3	12
6	только в	10	11
7	не только	16	11
8	во всех	2	11
9	в том	18	10
10	как бы	5	10
11	точки зрения	18	10
12	но в	6	10
13	у него	6	9
14	не в	6	9
15	вместе с	4	9
16	но и	6	9
17	и не	12	9
18	связи с	3	8
19	как и	8	8
20	в его	11	8
21	жизни и	2	8
22	то же	8	8
23	того чтобы	17	8
24	для того	14	8
25	с точки	9	8
26	потому что	21	8
27	из них	2	8
28	в них	2	7
29	в одном	3	7
30	может быть	9	7
31	то что	26	7
32	так и	7	7
33	и на	6	7
34	никогда не	5	6
35	при этом	4	6
36	как мы	10	6
37	еще не	4	6
38	его в	2	6
39	все же	3	6
40	все это	2	6
41	те же	2	6
42	в основе	8	6
43	так как	16	6
44	и с	3	6
45	в частности	3	5
46	в своем	5	5
47	с этим	3	5
48	связанные с	6	5
49	по существу	3	5
50	в пределах	4	5
51	в то	5	5
52	но не	10	5
53	он не	8	5
54	в нем	7	5
55	что в	16	5
56	все эти	4	5
57	в смысле	3	5
58	должно быть	8	5
59	с этой	4	4
60	с ним	5	4
61	же в	2	4
62	том что	15	4
63	так что	4	4
64	что они	5	4
65	с другом	7	4
66	друг с	7	4
67	в котором	2	4
68	и их	4	4
69	как в	5	4
70	отношения к	2	4
71	еще более	5	4
72	а не	10	4
73	их в	2	4
74	в истории	2	4
75	о том	8	4
76	мы будем	2	3
77	о чем	2	3
78	себя и	2	3
79	не является	5	3
80	того же	7	3
81	к этому	3	3
82	что было	2	3
83	как уже	3	3
84	с помощью	10	3
85	к тому	6	3
86	на развитие	2	3
87	что он	25	3
88	и как	3	3
89	это значит	5	3
90	тем более	4	3
91	в качестве	4	3
92	для него	5	3
93	тот же	5	3
94	том как	2	3
95	имеет место	2	3
96	в этот	2	3
97	точка зрения	8	3
98	что и	3	3
99	ее в	3	3
100	отношение к	11	3
101	не на	3	3
102	и другие	2	3
103	таким образом	19	3
104	в совершенно	2	3
105	в их	3	3
106	того что	16	3
107	и даже	2	3
108	и по	4	3
109	а в	3	3
110	на основе	2	3
111	тем что	5	3
112	в другом	6	3
113	на протяжении	2	3
114	же самое	4	3
115	в этих	3	3
116	в виду	2	3
117	на этом	3	2
118	только для	2	2
119	все основные	3	2
120	и более	3	2
121	до того	2	2
122	по своему	3	2
123	и есть	7	2
124	друг другу	2	2
125	друг от	4	2
126	говорить о	3	2
127	лежит в	2	2
128	с другой	4	2
129	это не	4	2
130	что все	6	2
131	по себе	7	2
132	можно сказать	5	2
133	в отношении	9	2
134	именно в	4	2
135	у нас	2	2
136	мы видим	4	2
137	в этой	6	2
138	с тем	3	2
139	все что	2	2
140	до конца	3	2
141	в плоскости	2	2
142	было бы	10	2
143	со всеми	2	2
144	и к	2	2
145	от друга	4	2
146	в сущности	13	2
147	к ним	2	2
148	и потому	2	2
149	если в	3	2
150	только один	2	2
151	сих пор	3	2
152	мы видели	3	2
153	принадлежит к	2	2
154	этом случае	3	2
155	в корне	2	2
156	находится в	2	2
157	опирается на	4	2
158	не может	18	2
159	этом отношении	5	2
160	с одной	3	2
161	в себя	3	2
162	в той	6	2
163	так же	15	2
164	как на	3	2
165	другом месте	4	2
166	значение для	2	2
167	но это	3	2
168	то в	3	2
169	и от	2	2
170	могут быть	4	2
171	но он	7	2
172	ту же	2	2
173	не знает	5	2
174	как он	6	2
175	как это	8	2
176	во всяком	2	2
177	значит что	5	2
178	до сих	3	2
