N	2gram	Tiupa_Hudo_2	Problema
1	и в	28	30
2	в своей	6	22
3	то что	6	18
4	не только	11	18
5	том что	19	17
6	в этом	13	17
7	но и	9	13
8	потому что	2	13
9	в том	15	12
10	в его	11	12
11	и не	18	12
12	о том	12	12
13	в своем	5	11
14	у него	5	11
15	в виде	2	10
16	для нас	3	10
17	точки зрения	2	10
18	в этой	5	10
19	все же	2	9
20	который в	2	9
21	сказать что	2	9
22	но в	2	9
23	только в	4	9
24	и все	7	9
25	вовсе не	2	8
26	с точки	2	8
27	никогда не	5	7
28	что он	8	7
29	как и	11	7
30	но не	4	7
31	может быть	8	7
32	вместе с	2	7
33	так и	8	7
34	говорит о	4	7
35	не в	13	7
36	здесь не	2	7
37	с другой	3	6
38	прежде всего	3	6
39	можно сказать	6	6
40	уже не	10	6
41	несмотря на	3	6
42	и для	2	6
43	как бы	5	6
44	в нем	3	6
45	что и	4	6
46	а в	6	6
47	и его	5	6
48	и на	3	6
49	мы читаем	2	6
50	его в	2	6
51	не менее	5	5
52	что в	5	5
53	что у	3	5
54	будто бы	3	5
55	тем не	4	5
56	людей в	2	5
57	так же	3	5
58	в самом	5	5
59	и о	4	5
60	для себя	6	5
61	не может	4	5
62	а не	14	5
63	и у	2	5
64	и то	2	5
65	как раз	4	5
66	того как	2	5
67	и с	6	5
68	еще и	2	4
69	в частности	7	4
70	отнюдь не	2	4
71	жизни в	7	4
72	как о	3	4
73	человека и	3	4
74	об этом	7	4
75	любви и	3	4
76	при этом	11	4
77	было бы	3	4
78	и сам	5	4
79	этот мотив	2	4
80	в качестве	4	4
81	к людям	2	4
82	гораздо более	2	4
83	а с	3	4
84	и к	2	4
85	и он	3	4
86	или в	3	4
87	в себе	9	4
88	в то	6	4
89	едва ли	3	4
90	же не	2	4
91	он сам	2	3
92	все время	3	3
93	именно в	2	3
94	и другие	5	3
95	однако в	2	3
96	в духе	2	3
97	в ее	18	3
98	что они	4	3
99	как будто	4	3
100	еще не	3	3
101	одной стороны	3	3
102	для того	4	3
103	он не	4	3
104	а также	2	3
105	бы не	3	3
106	с одной	3	3
107	жизнь в	2	3
108	к нему	3	3
109	внимание на	3	3
110	в других	4	3
111	в ней	3	3
112	в другом	2	3
113	с ним	7	3
114	в одном	3	3
115	видит в	2	3
116	только для	2	2
117	я не	7	2
118	прежде чем	2	2
119	это уже	2	2
120	но тем	2	2
121	в них	3	2
122	хотя бы	2	2
123	как в	5	2
124	это не	6	2
125	во втором	2	2
126	не все	3	2
127	один из	2	2
128	была бы	3	2
129	со всей	2	2
130	к тому	7	2
131	то же	6	2
132	как мы	2	2
133	да и	5	2
134	раз в	3	2
135	не будет	2	2
136	с такой	2	2
137	и сама	4	2
138	до сих	2	2
139	по поводу	3	2
140	в это	3	2
141	жизни и	6	2
142	бы с	2	2
143	в данном	2	2
144	что не	2	2
145	о своем	4	2
146	вслед за	4	2
147	за него	2	2
148	в роли	2	2
149	в котором	6	2
150	отношению к	7	2
151	ли он	2	2
152	из них	2	2
153	на него	3	2
154	наряду с	5	2
155	все что	3	2
156	данном случае	2	2
157	но еще	2	2
158	человеческой жизни	6	2
159	и тогда	2	2
160	отношение к	2	2
161	по отношению	7	2
162	то и	4	2
163	и только	2	2
164	на душе	2	2
165	самом деле	3	2
166	именно на	2	2
167	того чтобы	4	2
168	по его	3	2
169	можно было	3	2
170	у которого	2	2
171	между тем	8	2
172	тем что	6	2
173	и просто	2	2
174	о себе	3	2
175	тем как	2	2
176	ли в	3	2
177	ничего не	5	2
178	тоже не	2	2
179	любви к	2	2
180	сих пор	2	2
