N	2gram	Vinokur_Ku_1	Narrotol
1	не только	10	31
2	но и	6	27
3	и не	12	23
4	при этом	6	19
5	может быть	13	15
6	в частности	4	14
7	в качестве	7	14
8	как и	2	13
9	а не	8	13
10	а в	5	13
11	только в	11	12
12	в этом	14	12
13	и в	24	11
14	в данном	4	11
15	состоит в	3	10
16	и его	5	10
17	тогда как	2	10
18	то что	9	9
19	то же	8	8
20	в том	30	8
21	со стороны	4	8
22	не может	7	8
23	уже не	8	8
24	иначе говоря	2	8
25	если бы	9	7
26	том что	21	7
27	но в	2	7
28	к тому	5	6
29	не в	11	6
30	и он	3	6
31	в самом	10	6
32	не мог	2	6
33	как бы	7	6
34	один из	4	6
35	как раз	8	6
36	во втором	2	6
37	или в	2	6
38	в себе	3	6
39	в его	12	6
40	в этой	3	6
41	можно сказать	3	5
42	в соответствии	3	5
43	в своей	2	5
44	так и	7	5
45	тем самым	4	5
46	и на	4	5
47	потому что	23	5
48	точки зрения	14	5
49	с его	4	4
50	о чем	2	4
51	никогда не	2	4
52	из этих	4	4
53	к себе	4	4
54	событие и	2	4
55	или иной	3	4
56	соответствии с	3	4
57	все же	12	4
58	но не	5	4
59	же время	2	4
60	прежде всего	9	4
61	еще не	5	4
62	в ней	6	4
63	и тем	2	4
64	в нем	4	4
65	в первом	3	4
66	из них	4	4
67	по себе	2	4
68	как в	4	4
69	внимание на	4	4
70	того что	9	4
71	того чтобы	17	4
72	в речи	3	4
73	хотя и	3	4
74	на себя	3	4
75	в то	2	4
76	о том	9	4
77	в одном	3	4
78	не менее	7	3
79	что в	17	3
80	по большей	2	3
81	в своем	3	3
82	это не	7	3
83	не всегда	2	3
84	большей части	2	3
85	что он	6	3
86	идет о	2	3
87	сводится к	3	3
88	тем не	4	3
89	у нас	10	3
90	и как	2	3
91	когда в	2	3
92	в противовес	3	3
93	в целом	4	3
94	самом деле	9	3
95	для того	16	3
96	может служить	2	3
97	он не	2	3
98	о нем	2	3
99	речь идет	2	3
100	не является	2	3
101	отношению к	9	3
102	в современной	2	3
103	по отношению	8	3
104	не было	3	3
105	этом отношении	5	3
106	именно в	6	3
107	лишь в	2	3
108	в слове	2	3
109	и то	3	3
110	также и	2	3
111	и с	5	3
112	и все	2	3
113	как это	3	3
114	мы имеем	6	3
115	между тем	5	3
116	этого не	2	2
117	казалось бы	3	2
118	по мере	3	2
119	для них	2	2
120	в зависимости	5	2
121	в этих	4	2
122	а на	2	2
123	язык как	9	2
124	в сущности	3	2
125	в свою	3	2
126	на то	4	2
127	так называемая	2	2
128	по своим	2	2
129	же в	4	2
130	и того	2	2
131	слово это	5	2
132	зависимости от	6	2
133	в москве	2	2
134	свою очередь	3	2
135	переход от	4	2
136	между ними	2	2
137	такова что	2	2
138	до конца	2	2
139	до сих	4	2
140	в пределах	4	2
141	никак не	2	2
142	и является	4	2
143	всяком случае	5	2
144	если в	2	2
145	к жизни	2	2
146	не имеет	2	2
147	оно не	3	2
148	хотя бы	10	2
149	вместе с	7	2
150	дело не	2	2
151	сих пор	4	2
152	ли не	3	2
153	и тогда	4	2
154	другой стороны	6	2
155	в связи	3	2
156	в особенности	3	2
157	если не	3	2
158	все равно	2	2
159	в той	5	2
160	что не	5	2
161	и даже	3	2
162	с другой	7	2
163	и для	2	2
164	роль в	4	2
165	слов в	2	2
166	в таком	3	2
167	ничего не	2	2
168	с ними	4	2
169	в результате	5	2
170	во всяком	5	2
171	что касается	2	2
172	с языком	2	2
173	и еще	2	2
174	связи с	7	2
175	через посредство	3	2
176	здесь не	3	2
177	так сказать	5	2
178	с ним	5	2
179	в области	7	2
180	это было	2	2
