N	2gram	Tiupa_Hudo_2	Myshleni
1	в том	15	33
2	том что	19	27
3	точки зрения	2	26
4	то что	6	20
5	в этом	13	19
6	с точки	2	18
7	и в	28	15
8	не только	11	15
9	что в	5	14
10	что он	8	12
11	того чтобы	4	12
12	и т.д	2	12
13	в самом	5	11
14	но и	9	10
15	было бы	3	10
16	для того	4	10
17	в своем	5	9
18	может быть	8	9
19	не является	2	9
20	не может	4	9
21	о том	12	9
22	так и	8	8
23	казалось бы	6	8
24	никогда не	5	8
25	не в	13	8
26	если бы	6	8
27	к тому	7	7
28	мы знаем	2	7
29	одной стороны	3	7
30	с одной	3	7
31	и не	18	7
32	потому что	2	7
33	как бы	5	7
34	он не	4	7
35	едва ли	3	7
36	что это	5	6
37	в частности	7	6
38	как мы	2	6
39	в этой	5	6
40	мы уже	3	6
41	по отношению	7	6
42	с другой	3	6
43	сказать что	2	6
44	как он	3	6
45	как это	7	6
46	но в	2	6
47	вовсе не	2	6
48	и к	2	6
49	как и	11	6
50	вместе с	2	6
51	самом деле	3	6
52	это не	6	5
53	все что	3	5
54	отношению к	7	5
55	приводит к	2	5
56	то же	6	5
57	можно было	3	5
58	прежде всего	3	4
59	из этих	2	4
60	что все	3	4
61	потребность в	2	4
62	для нас	3	4
63	по поводу	3	4
64	несмотря на	3	4
65	все это	3	4
66	который в	2	4
67	в них	3	4
68	так же	3	4
69	а в	6	4
70	и с	6	4
71	в конечном	4	4
72	с его	5	4
73	конечном счете	3	4
74	все же	2	4
75	со всей	2	4
76	в качестве	4	4
77	в своей	6	4
78	как в	5	4
79	как раз	4	4
80	того как	2	4
81	а с	3	4
82	хотя бы	2	4
83	и его	5	4
84	только в	4	4
85	только для	2	3
86	он сам	2	3
87	все время	3	3
88	что у	3	3
89	человека и	3	3
90	об этом	7	3
91	что они	4	3
92	и сам	5	3
93	для него	5	3
94	при этом	11	3
95	бы с	2	3
96	из них	2	3
97	данном случае	2	3
98	со стороны	3	3
99	и только	2	3
100	те же	2	3
101	лишь в	2	3
102	с собой	2	3
103	с другими	3	3
104	в основе	2	3
105	с ним	7	3
106	и все	7	3
107	состоит в	7	3
108	о которых	2	3
109	личности не	2	3
110	но не	4	3
111	одной из	3	3
112	для себя	6	3
113	бы и	4	3
114	что она	7	3
115	тем самым	2	3
116	а не	14	3
117	или в	3	3
118	в данном	2	3
119	и ее	3	3
120	и это	3	3
121	ничего не	5	3
122	как только	3	2
123	же как	2	2
124	в этих	3	2
125	перед нами	11	2
126	самое что	2	2
127	столь же	3	2
128	как уже	2	2
129	или иной	2	2
130	можно сказать	6	2
131	что на	3	2
132	всякий раз	3	2
133	своей жизни	4	2
134	как у	2	2
135	когда в	3	2
136	с такой	2	2
137	в котором	6	2
138	с ее	5	2
139	в других	4	2
140	теперь в	2	2
141	к себе	3	2
142	говорить о	2	2
143	же самое	3	2
144	роли в	2	2
145	однако и	2	2
146	а также	2	2
147	в одном	3	2
148	видит в	2	2
149	все те	2	2
150	и составляет	2	2
151	у него	5	2
152	отнюдь не	2	2
153	именно в	2	2
154	наряду с	5	2
155	следующим образом	3	2
156	к ней	2	2
157	в его	11	2
158	что и	4	2
159	раз в	3	2
160	и тогда	2	2
161	что же	2	2
162	и для	2	2
163	жизни он	2	2
164	и эта	2	2
165	той же	2	2
166	тому как	4	2
167	тем что	6	2
168	подобно тому	4	2
169	в себе	9	2
170	в другом	2	2
