N	2gram	Losev_Prob_1	Poddanst
1	не только	17	17
2	и в	32	14
3	и не	31	12
4	в области	2	11
5	в отношении	3	10
6	в этом	19	10
7	то же	10	9
8	в том	9	9
9	в качестве	2	9
10	но в	14	9
11	хотя бы	3	8
12	в то	6	7
13	только в	7	7
14	но и	9	6
15	было бы	8	6
16	с другой	3	5
17	не в	4	5
18	в которых	3	5
19	и пр	4	5
20	и о	8	5
21	может быть	14	5
22	же в	4	4
23	в котором	5	4
24	то что	42	4
25	что в	12	4
26	если бы	4	4
27	в своем	5	4
28	не может	8	4
29	по себе	15	4
30	а в	4	4
31	том что	12	4
32	мы должны	5	4
33	и если	6	4
34	а также	4	4
35	как бы	14	4
36	и потому	2	4
37	сами по	3	3
38	в нем	13	3
39	и т	11	3
40	с тем	5	3
41	она есть	5	3
42	это не	6	3
43	прежде всего	10	3
44	россии как	2	3
45	тем самым	4	3
46	для того	8	3
47	с точки	3	3
48	мы не	2	3
49	и как	6	3
50	между тем	2	3
51	но не	9	3
52	могут быть	2	3
53	точки зрения	3	3
54	в себе	15	3
55	что мы	13	3
56	потому что	16	3
57	хотя и	6	3
58	я и	2	3
59	не менее	19	2
60	и тем	13	2
61	для них	2	2
62	именно в	4	2
63	и есть	6	2
64	во всех	7	2
65	не будем	2	2
66	отнюдь не	10	2
67	друг другу	2	2
68	тем более	5	2
69	в них	7	2
70	но о	2	2
71	есть нечто	11	2
72	все это	7	2
73	во всей	3	2
74	как раз	13	2
75	с этим	3	2
76	может и	3	2
77	в жизни	3	2
78	именно как	4	2
79	между прочим	2	2
80	а не	15	2
81	того что	7	2
82	должно быть	2	2
83	для нас	5	2
84	в ее	3	2
85	сколько бы	2	2
86	говорить о	6	2
87	есть не	6	2
88	есть в	5	2
89	является в	2	2
90	в виде	15	2
91	не нужно	3	2
92	не было	4	2
93	из них	3	2
94	например в	2	2
95	и это	9	2
96	никак не	4	2
97	да и	3	2
98	не о	2	2
99	в эту	2	2
100	в его	6	2
101	и с	2	2
102	помнить что	3	2
