N	3gram	Voloshinov_2	slovoVRo
1	не может быть	10	15
2	в отличие от	3	12
3	передачи чужой речи	24	8
4	в значительной степени	2	6
5	той или иной	4	5
6	в большинстве случаев	5	5
7	с одной стороны	3	5
8	то же время	8	4
9	в то же	8	4
10	в том что	6	4
11	в зависимости от	2	4
12	в отношении к	4	4
13	по отношению к	8	4
14	в узком смысле	2	4
15	или иной степени	2	3
16	в той или	3	3
17	с точки зрения	13	3
18	одной стороны и	2	3
19	в собственном смысле	2	3
20	но в то	5	3
21	форм передачи чужой	4	2
22	в свою очередь	5	2
23	в точном смысле	4	2
24	может быть и	5	2
25	как мы сказали	3	2
26	в связи с	7	2
27	как мы уже	3	2
28	более или менее	2	2
29	до сих пор	3	2
30	во всяком случае	2	2
31	для того чтобы	6	2
