N	2gram	Tiupa_Lite_3	StatiiOP
1	и в	16	29
2	том что	8	27
3	в том	12	27
4	в этом	14	21
5	но и	14	19
6	что в	2	19
7	не только	14	19
8	о том	6	17
9	что он	5	13
10	в его	6	13
11	то что	12	11
12	к тому	6	10
13	так и	9	9
14	этом отношении	5	9
15	и не	22	9
16	как на	3	9
17	потому что	3	9
18	как раз	2	8
19	но в	3	8
20	в г	3	7
21	в самом	3	7
22	я не	2	7
23	в своей	7	7
24	вместе с	5	7
25	для того	2	7
26	в одном	4	6
27	вопрос о	2	6
28	одним из	4	6
29	все же	2	6
30	того чтобы	2	6
31	и его	6	6
32	и на	2	6
33	о чем	3	5
34	прежде всего	3	5
35	в качестве	5	5
36	было бы	2	5
37	как бы	8	5
38	своего рода	10	5
39	а не	12	5
40	того что	9	5
41	между тем	3	5
42	точки зрения	7	5
43	именно в	5	4
44	в частности	11	4
45	что у	2	4
46	с другой	6	4
47	но с	2	4
48	к этому	2	4
49	в романе	3	4
50	не в	10	4
51	для него	2	4
52	и к	3	4
53	хотя и	4	4
54	в нем	2	4
55	внимание на	2	4
56	в другом	6	4
57	связи с	2	4
58	и с	2	4
59	не менее	2	3
60	оно не	2	3
61	на себя	2	3
62	в полном	2	3
63	по себе	2	3
64	одном из	2	3
65	тому же	5	3
66	у нас	2	3
67	в начале	4	3
68	как у	4	3
69	но не	4	3
70	что ему	2	3
71	до конца	4	3
72	например в	3	3
73	наконец в	3	3
74	никогда не	4	3
75	и даже	2	3
76	ср у	2	3
77	из них	4	3
78	другой стороны	2	3
79	самом деле	3	3
80	как в	5	3
81	еще и	2	3
82	тем что	2	3
83	в году	5	3
84	так же	2	3
85	xix века	2	3
86	с его	6	2
87	ни было	2	2
88	если бы	2	2
89	с этой	2	2
90	если не	2	2
91	для своего	2	2
92	в конце	2	2
93	как например	2	2
94	что и	2	2
95	в ее	5	2
96	а затем	3	2
97	по существу	4	2
98	как и	5	2
99	то ни	2	2
100	и как	3	2
101	в этой	8	2
102	что я	5	2
103	в то	9	2
104	и сам	2	2
105	раз в	2	2
106	несмотря на	2	2
107	на его	3	2
108	такого рода	10	2
109	может быть	12	2
110	к власти	2	2
111	и потому	2	2
112	искусства и	3	2
113	а также	4	2
114	еще в	3	2
115	на то	2	2
116	даже в	4	2
117	только в	7	2
118	ее в	2	2
119	бы то	2	2
120	ни с	2	2
121	со стороны	7	2
122	совершенно не	3	2
123	не может	8	2
124	тогда как	17	2
125	то же	9	2
126	при этом	15	2
127	там где	3	2
128	в отличие	5	2
129	с точки	3	2
130	в данном	4	2
131	эти слова	2	2
132	в себе	6	2
133	его в	2	2
134	как это	3	2
135	того же	2	2
136	отличие от	5	2
137	в области	3	2
138	поэзии и	2	2
