N	2gram	Losev_Vesc_1	Vladivir
1	и в	21	40
2	то что	27	28
3	и не	29	25
4	не только	36	25
5	у него	2	24
6	но и	18	18
7	в том	8	18
8	том что	8	18
9	еще и	8	18
10	что в	9	17
11	также и	6	17
12	в этом	4	16
13	так что	5	14
14	в его	2	14
15	не может	17	14
16	точки зрения	5	13
17	вовсе не	10	13
18	только в	14	13
19	сказать что	17	12
20	даже и	4	12
21	в конце	2	12
22	никогда не	2	11
23	таким образом	8	11
24	потому что	16	11
25	о том	6	11
26	прежде всего	9	10
27	тем не	3	10
28	это есть	7	10
29	то это	3	10
30	не просто	19	10
31	и потому	5	10
32	не есть	49	10
33	как раз	9	10
34	и его	2	10
35	не менее	3	9
36	что это	13	9
37	уже не	9	9
38	есть только	7	9
39	и с	8	9
40	и то	10	9
41	в своей	5	9
42	что же	8	9
43	в себе	14	9
44	в своем	6	8
45	в этой	3	8
46	для него	4	8
47	может быть	16	8
48	и что	15	8
49	как мы	4	8
50	а не	19	8
51	что все	2	7
52	к тому	3	7
53	а только	3	7
54	и как	8	7
55	и если	2	7
56	хотя и	4	7
57	а в	4	7
58	так как	7	7
59	с тем	5	7
60	того что	8	7
61	в то	3	7
62	что и	3	7
63	как и	8	7
64	и здесь	4	6
65	оно есть	9	6
66	да и	3	6
67	это значит	24	6
68	кроме того	4	6
69	и даже	6	6
70	и от	3	6
71	по себе	13	6
72	об этом	3	6
73	то в	4	6
74	в смысле	12	6
75	не будет	12	6
76	так и	3	6
77	если не	3	6
78	хотя бы	6	6
79	с точки	3	6
80	но это	10	6
81	и это	14	6
82	значит что	24	6
83	содержит в	4	5
84	с другой	6	5
85	для нас	2	5
86	не говорит	2	5
87	но если	8	5
88	должно быть	6	5
89	в отношении	4	5
90	все эти	3	5
91	только и	2	5
92	в ней	12	5
93	тут же	2	5
94	отнюдь не	5	5
95	в одном	2	5
96	у нас	7	5
97	мы уже	3	5
98	между прочим	3	5
99	для себя	5	5
100	только на	3	5
101	можно было	2	5
102	конце концов	2	5
103	в данном	5	5
104	тем что	2	5
105	дело в	4	5
106	ничего не	3	5
107	но даже	3	4
108	тому что	2	4
109	на то	4	4
110	мог бы	5	4
111	в самом	9	4
112	в котором	3	4
113	от того	3	4
114	она была	2	4
115	бы и	5	4
116	в результате	3	4
117	мы должны	2	4
118	при помощи	2	4
119	как это	2	4
120	и все	5	4
121	не с	7	4
122	по существу	2	4
123	но не	5	4
124	есть и	4	4
125	еще не	8	4
126	было бы	14	4
127	и о	3	4
128	никак не	3	4
129	если оно	4	4
130	то же	6	4
131	а с	3	4
132	если мы	8	4
133	все же	4	4
134	но в	5	4
135	или как	2	4
136	перед нами	2	3
137	я не	4	3
138	независимо от	5	3
139	то ни	4	3
140	это не	5	3
141	всегда есть	3	3
142	одной стороны	3	3
143	тех кто	2	3
144	но для	2	3
145	как бы	12	3
146	в виду	2	3
147	всяком случае	2	3
148	и тут	3	3
149	и тем	3	3
150	в нем	2	3
151	бы то	4	3
152	то как	2	3
153	ни с	6	3
154	отличается от	7	3
155	что есть	5	3
156	и только	3	3
157	с одной	3	3
158	в философии	5	3
159	раз навсегда	2	3
160	или не	2	3
161	сводится к	2	3
162	в россии	2	3
163	мы имеем	7	3
164	нисколько не	4	3
165	если бы	5	3
166	оно не	3	3
167	даже не	7	3
168	как нечто	2	3
169	собственно говоря	4	3
170	находится в	3	3
171	того чтобы	3	3
172	и у	3	3
173	и эта	3	3
174	и притом	3	3
175	не в	5	3
176	и для	9	3
177	во всяком	3	3
178	вещь и	14	3
179	в чем	6	3
180	вещи не	8	2
181	но на	2	2
182	должна быть	4	2
183	она должна	2	2
184	будет то	2	2
185	можно ли	7	2
186	с этой	4	2
187	же это	4	2
188	не содержит	3	2
189	что на	2	2
190	идеи и	3	2
191	те или	4	2
192	но что	2	2
193	есть прежде	2	2
194	и само	2	2
195	той или	2	2
196	так или	4	2
197	только то	2	2
198	что она	15	2
199	я вижу	2	2
200	другой стороны	2	2
201	то и	4	2
202	в разных	4	2
203	можно только	4	2
204	мы находим	2	2
205	но только	3	2
206	а есть	2	2
207	есть просто	5	2
208	а вот	3	2
209	себе в	3	2
210	и еще	2	2
211	по своей	2	2
212	что мы	14	2
213	ни на	3	2
214	его в	2	2
215	бы в	5	2
216	то не	4	2
217	не вполне	2	2
218	только с	3	2
219	и этот	2	2
220	в настоящем	2	2
221	с этим	3	2
222	но тогда	3	2
223	бытия и	2	2
224	в жизни	3	2
225	стороны и	2	2
226	есть не	14	2
227	а и	9	2
228	в силу	3	2
229	но тут	2	2
230	того же	5	2
231	одно и	5	2
232	не нужно	2	2
233	она не	4	2
234	из них	4	2
235	совершенно не	5	2
236	в сущности	4	2
237	но еще	3	2
238	то необходимо	2	2
239	по преимуществу	2	2
240	и бытия	2	2
241	только к	2	2
242	со стороны	5	2
243	как можно	3	2
244	но уже	3	2
245	данном случае	2	2
246	только что	2	2
247	но с	2	2
248	есть она	2	2
249	в с	2	2
250	для того	2	2
251	свидетельствует о	3	2
252	мы не	6	2
253	или иначе	4	2
254	от этого	2	2
255	сам по	3	2
256	является в	2	2
257	для тех	3	2
258	в другом	2	2
259	в в	2	2
260	как с	4	2
