N	2gram	Medvedev_U_1	Istorich
1	и в	14	28
2	может быть	6	25
3	не может	7	15
4	а не	10	15
5	то же	5	12
6	не только	10	12
7	только в	2	11
8	что он	2	10
9	все же	3	10
10	прежде всего	8	10
11	но и	4	10
12	мы не	2	10
13	в том	2	9
14	то что	7	9
15	и не	8	9
16	не в	2	9
17	если бы	2	8
18	таким образом	2	8
19	в этом	7	8
20	но в	3	8
21	это не	3	7
22	том что	2	7
23	было бы	3	7
24	что мы	2	7
25	с другой	4	6
26	что и	2	6
27	в этой	4	6
28	должна быть	2	5
29	по существу	2	5
30	но не	2	5
31	до сих	2	5
32	что она	2	5
33	сих пор	2	5
34	другой стороны	3	5
35	в его	2	5
36	все это	5	4
37	превращается в	2	4
38	но это	2	4
39	как и	3	4
40	хотя бы	5	4
41	и для	2	4
42	и с	2	4
43	могут быть	2	4
44	не все	2	4
45	не как	3	3
46	по себе	2	3
47	для этого	3	3
48	к сожалению	3	3
49	в их	4	3
50	же самое	2	3
51	тем что	2	3
52	в то	3	3
53	на эту	2	3
54	могли бы	2	3
55	же не	2	3
56	не могут	2	2
57	всех этих	2	2
58	в частности	3	2
59	материала и	2	2
60	его и	2	2
61	ее нельзя	2	2
62	ни было	3	2
63	то ни	3	2
64	для него	3	2
65	на первый	2	2
66	что такое	4	2
67	это было	2	2
68	не есть	2	2
69	бы то	3	2
70	в некоторых	2	2
71	конечно не	4	2
72	как раз	2	2
73	и только	5	2
74	для всех	2	2
75	одним из	2	2
76	ничего не	2	2
77	нас в	2	2
78	между тем	2	2
79	в себе	2	2
80	в конечном	4	2
81	в области	3	2
