N	2gram	Losev_Prob_2	VrazhdaK
1	не только	24	9
2	в этом	17	8
3	и что	13	8
4	и в	35	8
5	но и	16	7
6	что в	11	7
7	то что	38	7
8	и все	5	7
9	все же	8	6
10	и даже	11	6
11	как и	5	6
12	но в	6	6
13	и с	10	6
14	о нем	2	6
15	то же	5	5
16	не было	3	5
17	и не	37	5
18	об этом	2	5
19	в то	6	5
20	уже в	3	4
21	для нас	9	4
22	как бы	4	4
23	все это	4	4
24	что он	4	4
25	так же	5	4
26	в своих	3	4
27	может быть	18	4
28	при этом	3	4
29	в истории	3	4
30	несмотря на	3	4
31	о том	18	4
32	в ней	2	4
33	в виду	8	4
34	речь идет	2	3
35	связи с	5	3
36	в своем	4	3
37	в связи	5	3
38	в конце	7	3
39	на то	6	3
40	в том	12	3
41	том что	19	3
42	и как	4	3
43	тем что	4	3
44	в его	7	3
45	далеко не	4	3
46	его в	3	3
47	и о	4	3
48	он не	2	3
49	он сам	3	2
50	и а	2	2
51	и это	5	2
52	время и	2	2
53	не менее	13	2
54	он тоже	2	2
55	вместе с	2	2
56	отнюдь не	5	2
57	в них	2	2
58	как раз	8	2
59	не может	13	2
60	а в	4	2
61	таким образом	4	2
62	это в	2	2
63	но это	6	2
64	в в	2	2
65	в той	2	2
66	уже не	8	2
67	на первый	4	2
68	как же	4	2
69	тем более	10	2
70	в этой	9	2
71	и то	10	2
72	их в	4	2
73	но как	6	2
74	точки зрения	2	2
75	и ее	2	2
76	в себе	5	2
77	в нашей	3	2
78	еще не	10	2
79	о чем	6	2
80	на это	2	2
81	при помощи	8	2
82	с нею	2	2
83	одна из	3	2
84	а также	2	2
85	в него	2	2
