N	2gram	Medvedev_F_3	NovoeSre
1	а не	17	17
2	не может	24	16
3	и в	27	16
4	совсем не	5	12
5	и не	30	11
6	что в	8	9
7	в эпоху	3	9
8	жизни и	4	8
9	как не	2	8
10	в том	7	8
11	как и	14	7
12	в этом	18	7
13	может быть	25	7
14	с его	2	6
15	никогда не	5	6
16	в высшей	2	6
17	не в	12	6
18	высшей степени	2	6
19	лишь в	9	6
20	но это	2	6
21	ни в	8	6
22	должен быть	2	5
23	в нем	15	5
24	все это	7	5
25	в жизни	11	5
26	с ее	2	5
27	в ней	5	5
28	не только	9	5
29	не менее	7	4
30	то что	8	4
31	перестает быть	2	4
32	в них	3	4
33	это не	3	4
34	и все	8	4
35	всех сторон	2	4
36	и для	6	4
37	потому что	7	4
38	прежде всего	4	4
39	о том	4	4
40	и потому	5	4
41	но и	10	3
42	не есть	4	3
43	должна быть	3	3
44	в своей	6	3
45	в истории	5	3
46	жизни в	3	3
47	с другой	6	3
48	человека и	2	3
49	во всех	3	3
50	и пр	15	3
51	к тому	4	3
52	в ее	4	3
53	в основе	3	3
54	с тем	7	3
55	подобно тому	4	3
56	смысле слова	2	3
57	конечно не	4	3
58	как в	4	3
59	она не	4	3
60	еще не	6	3
61	тому как	5	3
62	в россии	2	3
63	за пределы	2	3
64	сказать что	3	3
65	не значит	2	3
66	на протяжении	2	2
67	все время	6	2
68	место в	10	2
69	вместе с	6	2
70	так и	21	2
71	что она	2	2
72	для этого	2	2
73	и формы	5	2
74	другой стороны	5	2
75	формы и	3	2
76	и от	11	2
77	к более	2	2
78	этом смысле	2	2
79	все эти	6	2
80	уже не	3	2
81	нет и	3	2
82	такой же	2	2
83	роль в	4	2
84	того чтобы	5	2
85	и даже	2	2
86	хотя бы	6	2
87	но не	5	2
88	так же	9	2
89	это и	2	2
90	мы не	4	2
91	том что	4	2
92	в смысле	4	2
93	связаны с	2	2
94	же как	3	2
95	одна из	2	2
96	и с	3	2
97	и что	3	2
98	могут быть	4	2
99	равно как	3	2
100	и на	3	2
101	в себе	3	2
102	в то	7	2
103	познания и	2	2
104	и это	2	2
105	для чего	2	2
106	xviii века	2	2
107	как это	4	2
108	но для	2	2
109	но в	6	2
