N	2gram	Bakhtin_fo_2	SlovoVZh
1	не может	2	16
2	точки зрения	10	14
3	может быть	7	14
4	и его	12	13
5	как бы	10	13
6	таким образом	3	12
7	и в	46	12
8	и не	9	10
9	так как	6	9
10	прежде всего	14	8
11	в нем	5	6
12	при этом	6	6
13	с помощью	3	6
14	в том	10	6
15	только в	11	6
16	слова и	3	6
17	и др	5	5
18	то что	7	5
19	никогда не	6	5
20	а не	4	5
21	можно сказать	2	5
22	то же	8	5
23	как и	8	5
24	том что	4	5
25	отнюдь не	4	5
26	как в	4	5
27	но в	10	5
28	в виду	3	5
29	и к	2	4
30	все же	6	4
31	отношение к	3	4
32	жизни и	8	4
33	так и	7	4
34	с другой	2	4
35	уже не	3	4
36	в литературе	2	4
37	не в	9	4
38	в этом	22	4
39	и на	7	4
40	его в	6	4
41	не только	11	4
42	в котором	4	3
43	в них	7	3
44	точка зрения	3	3
45	и более	2	3
46	в некоторых	2	3
47	быть и	2	3
48	сих пор	2	3
49	все это	6	3
50	ее и	2	3
51	на границе	3	3
52	и по	3	3
53	все эти	5	3
54	по себе	2	3
55	но и	9	3
56	и пр	2	3
57	того что	3	3
58	и наконец	6	3
59	так же	2	3
60	и с	6	3
61	о том	4	3
62	в себе	4	3
63	для него	3	3
64	до сих	2	3
65	в пределах	5	3
66	еще не	6	3
67	в поэзии	2	3
68	и для	9	3
69	конечно не	4	3
70	здесь не	2	3
71	с ним	4	3
72	место в	4	2
73	автора и	2	2
74	перестает быть	2	2
75	уже в	4	2
76	с этой	4	2
77	что и	3	2
78	что в	5	2
79	вместе с	9	2
80	себя и	3	2
81	и так	2	2
82	в этих	3	2
83	все они	3	2
84	в форме	3	2
85	в своем	5	2
86	в отношении	2	2
87	это не	2	2
88	вещи и	2	2
89	влияние на	2	2
90	мы имеем	2	2
91	и все	6	2
92	и другие	3	2
93	в особенности	6	2
94	с одной	2	2
95	к этому	3	2
96	те же	6	2
97	в себя	2	2
98	словом и	2	2
99	с точки	8	2
100	же самое	3	2
101	как на	2	2
102	форма в	2	2
103	для других	3	2
104	но это	2	2
105	в данном	2	2
106	в корне	2	2
107	но не	5	2
108	могут быть	2	2
109	имеем в	3	2
110	кроме того	3	2
111	до конца	2	2
112	она не	2	2
113	в то	5	2
114	и совершенно	3	2
115	героев и	4	2
116	и самое	4	2
117	и та	2	2
118	имеет место	3	2
119	как уже	3	2
120	там где	2	2
121	как это	2	2
122	к ним	2	2
123	он не	5	2
124	в основном	8	2
125	в его	8	2
126	и потому	2	2
127	между ними	2	2
