N	2gram	Bakhtin_sl_2	Komedia
1	и в	39	26
2	и не	22	14
3	так и	15	12
4	и его	33	12
5	в том	5	11
6	может быть	37	11
7	но и	21	10
8	на протяжении	2	10
9	в этом	16	10
10	что в	3	9
11	том что	5	9
12	вместе с	2	9
13	и на	4	7
14	не только	24	7
15	что и	3	7
16	в своем	6	6
17	то что	2	6
18	еще не	7	6
19	в нем	19	6
20	того чтобы	2	6
21	и здесь	2	6
22	в то	4	6
23	о том	2	6
24	таким образом	8	6
25	с его	7	5
26	независимо от	2	5
27	что он	2	5
28	один из	5	5
29	ни в	4	5
30	в истории	11	5
31	с этим	2	5
32	для того	2	5
33	и с	9	5
34	действующих лиц	2	5
35	уже в	2	4
36	не менее	4	4
37	у него	3	4
38	в этих	7	4
39	в них	6	4
40	и от	3	4
41	прежде всего	8	4
42	как мы	7	4
43	как и	6	4
44	с их	3	4
45	хотя и	2	4
46	в его	7	4
47	все же	6	4
48	и для	5	4
49	точки зрения	8	4
50	только в	5	4
51	так как	4	4
52	как это	3	4
53	его в	4	4
54	между тем	3	4
55	для всех	4	3
56	жизни и	6	3
57	отношению к	4	3
58	но все	5	3
59	связи с	3	3
60	но не	6	3
61	во всех	12	3
62	же время	4	3
63	здесь в	3	3
64	для нас	5	3
65	например в	5	3
66	в ней	3	3
67	и особенно	2	3
68	себя в	8	3
69	и их	5	3
70	в их	2	3
71	все это	16	3
72	по отношению	4	3
73	дело с	4	3
74	в связи	2	3
75	того как	2	3
76	той же	3	3
77	то же	4	3
78	не было	2	3
79	как в	13	3
80	к нему	3	3
81	а в	4	3
82	или в	2	3
83	человека в	5	3
84	не может	20	3
85	как он	2	3
86	но в	6	3
87	в речах	2	2
88	и другие	2	2
89	однако в	2	2
90	в нашем	2	2
91	не всегда	2	2
92	с другой	5	2
93	это не	5	2
94	в одном	2	2
95	вовсе не	10	2
96	даже на	3	2
97	и к	6	2
98	с которым	2	2
99	не в	9	2
100	до сих	2	2
101	х годов	2	2
102	речь о	2	2
103	одна из	4	2
104	чем в	2	2
105	на этом	3	2
106	одной стороны	5	2
107	или на	2	2
108	одним из	2	2
109	наконец в	4	2
110	он не	2	2
111	как бы	7	2
112	которые в	2	2
113	всяком случае	2	2
114	даже в	2	2
115	хотя бы	3	2
116	и т	35	2
117	отношение к	4	2
118	сих пор	2	2
119	в отличие	12	2
120	так в	2	2
121	т п	33	2
122	с одной	5	2
123	еще более	2	2
124	в той	4	2
125	бы и	3	2
126	рядом с	3	2
127	отличие от	13	2
128	роль в	2	2
129	мы не	2	2
130	с ними	5	2
131	меньше чем	2	2
132	во всяком	3	2
133	к его	2	2
134	говорить о	3	2
135	и все	5	2
136	в состав	3	2
