N	2gram	Tiupa_Hudo_1	Komedia
1	и в	19	22
2	и не	15	21
3	том что	8	13
4	в том	18	12
5	таким образом	3	12
6	со стороны	2	11
7	ни в	5	10
8	в комедии	2	10
9	потому что	3	10
10	в самом	5	9
11	если бы	3	8
12	в своем	2	8
13	что он	3	8
14	в его	9	8
15	что и	2	8
16	в этом	11	8
17	о том	2	8
18	его в	2	8
19	о чем	2	7
20	об этом	2	7
21	при этом	13	7
22	в свою	3	7
23	то же	10	7
24	а в	12	7
25	свою очередь	2	6
26	того же	2	6
27	еще не	3	6
28	для того	2	6
29	к тому	4	6
30	может быть	14	6
31	как раз	3	6
32	и что	3	6
33	того чтобы	2	6
34	и его	12	6
35	в то	6	6
36	не менее	3	5
37	что в	6	5
38	же время	5	5
39	прежде всего	4	5
40	как это	5	5
41	хотя и	3	5
42	не только	16	5
43	в своей	5	5
44	отношение к	5	5
45	все это	2	5
46	по отношению	9	5
47	он не	4	5
48	к нему	3	5
49	с ним	2	5
50	но в	7	5
51	отнюдь не	2	4
52	однако в	4	4
53	между собой	2	4
54	с другой	7	4
55	вовсе не	2	4
56	не в	7	4
57	то что	4	4
58	но и	10	4
59	что она	2	4
60	в отношении	3	4
61	а не	9	4
62	и для	2	4
63	так же	2	4
64	либо в	2	4
65	точки зрения	10	4
66	в себе	9	4
67	так и	11	4
68	не является	4	4
69	с его	6	3
70	в частности	13	3
71	никогда не	2	3
72	в них	2	3
73	в глаза	2	3
74	в какой	2	3
75	в нем	5	3
76	далеко не	2	3
77	и к	3	3
78	тем не	3	3
79	в ее	5	3
80	как и	2	3
81	в этой	2	3
82	по своему	2	3
83	который в	2	3
84	одной стороны	2	3
85	как бы	9	3
86	один из	2	3
87	отношению к	9	3
88	в целом	3	3
89	приводит к	5	3
90	не может	7	3
91	дома и	2	3
92	с одной	2	3
93	с точки	3	3
94	их в	3	3
95	одной из	2	3
96	в отсутствие	2	3
97	представляет собой	10	3
98	говорить о	3	3
99	не знает	3	3
100	в которой	2	3
101	в основе	4	2
102	состоит в	16	2
103	себя и	2	2
104	конечном счете	5	2
105	в качестве	24	2
106	не как	2	2
107	как в	2	2
108	не будет	2	2
109	это не	2	2
110	и особенно	2	2
111	нового времени	2	2
112	в одном	2	2
113	для понимания	2	2
114	если мы	2	2
115	отличие от	7	2
116	перед лицом	3	2
117	а на	5	2
118	в пределах	3	2
119	за пределы	2	2
120	и о	3	2
121	известной степени	3	2
122	в конечном	5	2
123	а также	5	2
124	между ними	4	2
125	за пределами	3	2
126	так или	3	2
127	не с	2	2
128	во всех	3	2
129	дело не	2	2
130	могло быть	2	2
131	в их	5	2
132	другой стороны	5	2
133	отношения к	2	2
134	в мире	21	2
135	с другими	4	2
136	или иначе	4	2
137	и на	2	2
138	тому что	2	2
139	между тем	4	2
140	и ее	3	2
141	в другом	3	2
142	текста не	2	2
143	и это	2	2
144	из этого	2	2
145	здесь не	2	2
146	всего лишь	4	2
147	в области	6	2
148	в виду	5	2
