N	2gram	Ircho_Kome_2	KulturaY
1	и т	2	33
2	в том	11	30
3	и в	26	24
4	потому что	6	23
5	том что	9	21
6	т п	2	18
7	что в	9	17
8	того чтобы	6	17
9	для того	5	16
10	было бы	8	15
11	в этом	10	14
12	точки зрения	4	14
13	может быть	11	13
14	все же	4	12
15	таким образом	6	12
16	в его	4	12
17	и не	14	12
18	не в	2	11
19	только в	4	11
20	вовсе не	2	10
21	в силу	2	10
22	в самом	4	10
23	не только	7	10
24	хотя бы	2	10
25	если бы	9	9
26	то что	6	9
27	прежде всего	4	9
28	отношению к	3	9
29	о том	6	9
30	так как	4	9
31	по отношению	3	8
32	то же	3	8
33	тем что	3	8
34	не менее	4	7
35	в них	4	7
36	с другой	2	7
37	связи с	3	7
38	в качестве	5	7
39	как бы	2	7
40	вместе с	9	7
41	не может	3	7
42	это не	2	7
43	бы в	2	7
44	так и	12	7
45	в какой	2	6
46	что он	5	6
47	только потому	2	6
48	в ней	3	6
49	но и	10	6
50	все это	3	6
51	можно было	4	6
52	мы имеем	2	6
53	в которой	5	6
54	с тем	5	5
55	что это	4	5
56	к тому	12	5
57	но не	3	5
58	еще не	6	5
59	например в	3	5
60	всяком случае	2	5
61	и что	2	5
62	целый ряд	2	5
63	в виду	2	5
64	в той	2	5
65	и вовсе	2	5
66	а в	3	5
67	и его	12	5
68	рядом с	2	5
69	во всяком	2	5
70	между тем	4	5
71	и с	5	5
72	с его	5	4
73	в частности	4	4
74	в этих	4	4
75	в нем	6	4
76	в тех	3	4
77	же в	4	4
78	того же	3	4
79	из них	7	4
80	в первую	3	4
81	один из	5	4
82	что и	7	4
83	в целом	4	4
84	сих пор	2	4
85	со стороны	2	4
86	до сих	2	4
87	как в	3	4
88	с этим	5	4
89	того как	3	4
90	в самой	3	4
91	так что	5	4
92	роль в	2	4
93	с ними	2	4
94	и на	7	4
95	из этих	4	4
96	уже в	4	3
97	если не	2	3
98	ясно что	8	3
99	на себя	7	3
100	представление о	2	3
101	в духе	2	3
102	этом смысле	2	3
103	то это	2	3
104	в первом	2	3
105	в г	17	3
106	ли не	7	3
107	в этой	3	3
108	и если	2	3
109	это слово	4	3
110	в котором	3	3
111	в истории	5	3
112	даже в	2	3
113	что она	2	3
114	тому что	4	3
115	в своем	6	3
116	в связи	3	3
117	не было	3	3
118	в их	3	3
119	той же	3	3
120	и здесь	6	3
121	с их	4	3
122	хотя и	4	3
123	как это	4	3
124	в одном	2	3
125	о чем	3	2
126	и есть	2	2
127	что их	2	2
128	с этой	3	2
129	не является	2	2
130	и все	2	2
131	что касается	3	2
132	в каждом	3	2
133	так или	3	2
134	так называемой	3	2
135	не всегда	2	2
136	вопрос о	3	2
137	идет о	2	2
138	в то	6	2
139	для нас	3	2
140	что его	3	2
141	как и	4	2
142	но все	3	2
143	а на	2	2
144	же время	3	2
145	первую очередь	3	2
146	когда в	2	2
147	тот же	2	2
148	в это	2	2
149	в своей	3	2
150	одним из	2	2
151	но если	3	2
152	речь идет	3	2
153	если в	2	2
154	ни в	5	2
155	меньше всего	4	2
156	не говоря	2	2
157	бы и	2	2
158	он не	2	2
159	и для	4	2
160	на этот	4	2
161	не имеет	3	2
162	или в	3	2
163	или иначе	3	2
164	от этого	2	2
165	одно из	2	2
166	чуть ли	2	2
167	и еще	2	2
168	но в	3	2
169	своего времени	2	2
170	это было	4	2
