N	3gram	Losev_Prob_2	Formalny
1	не может быть	3	14
2	на самом деле	2	12
3	в то же	4	7
4	и т д	6	6
5	во всяком случае	10	6
6	с другой стороны	5	5
7	в данном случае	5	4
8	в самом деле	2	4
9	бы то ни	2	4
10	в связи с	5	4
11	подобно тому как	2	4
12	для того чтобы	2	4
13	то же самое	5	3
14	вовсе не является	3	3
15	в том что	4	3
16	то или иное	2	2
17	тем не менее	12	2
18	сами по себе	2	2
19	в конце концов	7	2
20	не только не	2	2
21	может быть только	2	2
22	только то что	3	2
23	так же и	2	2
24	и в данном	2	2
25	в этом смысле	5	2
