N	2gram	Vinokur_Ku_2	Myshleni
1	речи и	5	28
2	точки зрения	14	26
3	таким образом	5	26
4	в том	19	24
5	и в	23	23
6	том что	11	21
7	с точки	8	18
8	того чтобы	11	17
9	то что	9	17
10	в этом	18	17
11	так же	4	16
12	не только	20	16
13	того что	3	15
14	для того	9	15
15	что в	10	14
16	может быть	15	14
17	но и	7	14
18	как и	2	14
19	в его	5	14
20	речи в	6	14
21	с помощью	7	13
22	не может	9	12
23	как бы	4	11
24	сказать что	4	11
25	с другой	8	10
26	прежде всего	8	10
27	в отношении	2	10
28	в качестве	8	9
29	другой стороны	7	9
30	и не	16	9
31	между тем	6	9
32	и с	7	9
33	вместе с	5	9
34	с одной	2	8
35	заключается в	2	8
36	и на	6	8
37	в процессе	3	8
38	то же	6	8
39	вопрос о	9	7
40	мы могли	2	7
41	в этой	6	7
42	в самом	12	7
43	в то	4	7
44	так как	15	7
45	с тем	2	7
46	что он	5	7
47	в другом	2	7
48	с этой	2	6
49	же как	2	6
50	к слову	2	6
51	и тем	5	6
52	от того	4	6
53	все это	5	6
54	именно в	3	6
55	лишь в	5	6
56	могли бы	2	6
57	потому что	25	6
58	с этим	3	6
59	в силу	7	6
60	в сущности	9	6
61	по сравнению	2	6
62	и его	3	6
63	тем что	3	6
64	только в	5	6
65	перед нами	4	5
66	можно сказать	4	5
67	на то	4	5
68	по себе	10	5
69	для этого	3	5
70	что для	2	5
71	в своих	2	5
72	что мы	6	5
73	мы должны	2	5
74	и все	2	5
75	если бы	12	5
76	но в	11	5
77	и более	2	5
78	представить себе	2	5
79	и что	8	5
80	он не	3	5
81	слова и	5	5
82	так и	4	5
83	как мы	3	5
84	тем самым	2	5
85	но не	6	4
86	и речь	2	4
87	что все	5	4
88	в свою	2	4
89	не в	8	4
90	при этом	2	4
91	что она	3	4
92	целый ряд	5	4
93	все эти	12	4
94	этом отношении	3	4
95	в результате	4	4
96	это положение	2	4
97	к этому	4	4
98	речи мы	2	4
99	по существу	5	4
100	было бы	15	4
101	к тому	4	4
102	должен быть	5	4
103	в своей	2	4
104	как в	3	4
105	приводит к	5	4
106	как раз	3	4
107	хотя бы	9	4
108	ни в	4	4
109	этого слова	5	4
110	только для	2	3
111	уже в	3	3
112	я не	5	3
113	что это	7	3
114	в своем	2	3
115	мысль и	2	3
116	и от	2	3
117	одного из	2	3
118	на все	2	3
119	свою очередь	2	3
120	что они	2	3
121	смысле слова	2	3
122	и если	2	3
123	и следовательно	2	3
124	в сфере	3	3
125	в их	2	3
126	то и	3	3
127	отношения к	2	3
128	в которых	2	3
129	вовсе не	9	3
130	этот вопрос	6	3
131	всяком случае	5	3
132	сознания и	2	3
133	речи но	2	3
134	смысле этого	2	3
135	превращается в	2	3
136	что оно	3	3
137	об этом	5	3
138	она не	2	3
139	все же	7	3
140	самом деле	9	3
141	а не	10	3
142	из которых	3	3
143	на этот	2	3
144	можно было	9	3
145	и то	5	3
146	во всяком	5	3
147	могут быть	4	3
148	в каком	4	3
149	связи с	3	3
150	и это	3	3
151	ответ на	2	3
152	в области	11	3
153	ничего не	4	3
154	за собой	2	2
155	в частности	2	2
156	никогда не	2	2
157	в нашем	7	2
158	что между	2	2
159	что у	2	2
160	в конце	4	2
161	в зависимости	4	2
162	но все	4	2
163	на этом	3	2
164	же время	3	2
165	несмотря на	5	2
166	хотя и	4	2
167	был бы	2	2
168	не имеет	4	2
169	один из	5	2
170	мы видели	2	2
171	с той	2	2
172	письменной речи	21	2
173	и до	2	2
174	данном случае	2	2
175	той же	2	2
176	которых мы	2	2
177	и вот	5	2
178	и даже	2	2
179	который мы	2	2
180	должно быть	4	2
181	бы и	4	2
182	а в	3	2
183	нуждается в	2	2
184	говорить о	4	2
185	о котором	2	2
186	от речи	3	2
187	тех же	2	2
188	как это	5	2
189	бы сказать	2	2
190	от этого	2	2
191	всех этих	3	2
192	речь идет	2	2
193	главным образом	3	2
194	в них	4	2
195	составные элементы	2	2
196	ясно что	5	2
197	зависимости от	5	2
198	к вопросу	3	2
199	и потому	2	2
200	всего в	3	2
201	в современной	2	2
202	слова как	3	2
203	на примере	2	2
204	того как	2	2
205	если мы	4	2
206	уже не	8	2
207	и пр	8	2
208	в речи	6	2
209	речь в	5	2
210	вот почему	3	2
211	почти всегда	2	2
212	в данном	4	2
213	как впрочем	2	2
214	речи с	2	2
215	вопроса о	6	2
216	что если	2	2
217	что эта	2	2
218	там где	5	2
