N	2gram	Berdyaev_M_2	Poddanst
1	не только	18	17
2	и в	46	14
3	и не	18	12
4	в отношении	5	10
5	в этом	20	10
6	то же	5	9
7	в том	3	9
8	но в	10	9
9	хотя бы	7	8
10	только в	3	7
11	быть может	2	6
12	но и	15	6
13	в судьбах	3	6
14	в ней	11	6
15	не в	9	5
16	отношении к	3	5
17	может быть	21	5
18	революция есть	2	4
19	то что	5	4
20	что в	4	4
21	если бы	3	4
22	в своем	8	4
23	не может	15	4
24	россии и	2	4
25	по себе	2	4
26	и к	7	4
27	а в	2	4
28	том что	4	4
29	и если	2	4
30	в русской	6	4
31	как бы	8	4
32	и потому	7	4
33	в нем	22	3
34	в россии	3	3
35	она есть	2	3
36	это не	5	3
37	т е	4	3
38	прежде всего	12	3
39	для того	5	3
40	между тем	2	3
41	точки зрения	2	3
42	в себе	10	3
43	тот же	2	3
44	потому что	12	3
45	хотя и	2	3
46	я и	2	3
47	в сфере	2	2
48	в мире	7	2
49	не к	2	2
50	и есть	8	2
51	во всех	2	2
52	в них	3	2
53	отношения к	2	2
54	в жизни	4	2
55	еще более	2	2
56	думать что	4	2
57	и других	2	2
58	и вот	5	2
59	было в	3	2
60	только это	2	2
61	а не	13	2
62	того что	6	2
63	к чему	4	2
64	должно быть	2	2
65	духа и	3	2
66	есть не	5	2
67	в русском	4	2
68	есть в	3	2
69	не было	11	2
70	русской революции	3	2
71	более чем	2	2
72	и это	5	2
73	мысль о	2	2
74	да и	2	2
75	не о	2	2
76	в его	5	2
77	русский народ	5	2
78	и с	3	2
