N	2gram	Voloshinov_1	TeoriaLi
1	в мире	2	24
2	не только	27	18
3	в качестве	4	17
4	и не	14	16
5	а в	5	14
6	в частности	3	13
7	и в	38	13
8	может быть	13	12
9	так и	6	12
10	то есть	4	12
11	представляет собой	2	11
12	при этом	9	11
13	в этом	10	11
14	в том	2	11
15	но не	2	10
16	а не	6	10
17	и его	7	10
18	в его	6	9
19	то же	14	9
20	в душе	2	8
21	но и	13	8
22	себя в	4	7
23	в себе	9	7
24	том что	3	7
25	во второй	3	7
26	точки зрения	10	7
27	по своей	2	7
28	в то	9	7
29	только в	6	7
30	как это	5	7
31	место в	2	6
32	с его	7	6
33	же время	7	6
34	еще не	3	6
35	в первой	2	6
36	лишь в	4	6
37	как бы	28	6
38	но в	5	6
39	однако в	2	5
40	или иного	5	5
41	или иной	4	5
42	в ее	3	5
43	как и	10	5
44	не в	6	5
45	между ними	3	5
46	в самом	4	5
47	того или	5	5
48	в нем	4	5
49	как в	2	5
50	он не	2	5
51	уже не	4	5
52	тем самым	7	5
53	между тем	3	5
54	мы имеем	2	5
55	в свою	6	4
56	можно сказать	4	4
57	в своей	2	4
58	то что	8	4
59	отношение к	2	4
60	в форме	6	4
61	и т.п	21	4
62	не может	12	4
63	высказывания в	2	4
64	в слове	3	4
65	сказать что	3	4
66	хотя и	3	4
67	не знает	3	4
68	слова в	5	3
69	ни к	2	3
70	перед нами	3	3
71	художественного творчества	5	3
72	никогда не	7	3
73	в нашем	5	3
74	в этих	2	3
75	в отношении	2	3
76	он должен	3	3
77	прежде всего	21	3
78	и к	4	3
79	свою очередь	4	3
80	по своему	3	3
81	для него	3	3
82	того что	4	3
83	и сам	2	3
84	той или	3	3
85	и потому	2	3
86	этого слова	3	3
87	таким образом	7	3
88	а с	5	3
89	и вот	3	3
90	или в	2	3
91	и то	3	3
92	потому что	5	3
93	в основе	2	3
94	речи и	6	3
95	между двумя	2	3
96	в этой	6	3
97	и т.д	21	3
98	и внешней	3	3
99	его в	4	3
100	все эти	2	3
101	человека с	2	3
102	если бы	4	2
103	высказывания как	3	2
104	между собой	2	2
105	в конце	6	2
106	это не	3	2
107	вовсе не	2	2
108	или иных	3	2
109	что он	2	2
110	к тому	4	2
111	об этом	3	2
112	при условии	2	2
113	мы легко	3	2
114	но как	2	2
115	и как	9	2
116	а на	2	2
117	одно и	4	2
118	внутренней и	3	2
119	и больше	2	2
120	о своем	3	2
121	одной из	2	2
122	мы в	3	2
123	из которых	3	2
124	между внутренней	2	2
125	здесь мы	3	2
126	слова как	2	2
127	в виду	3	2
128	и тем	6	2
129	не с	3	2
130	к нему	2	2
131	в целом	4	2
132	слова не	2	2
133	во всех	6	2
134	вместе с	5	2
135	здесь не	2	2
136	и для	3	2
137	тех или	4	2
138	в той	5	2
139	с точки	5	2
140	и даже	3	2
141	высказывания и	3	2
142	так же	4	2
143	либо в	2	2
144	роль в	3	2
145	высказывания не	2	2
146	их в	3	2
147	и здесь	3	2
148	формы высказывания	2	2
149	о том	4	2
150	перед ним	3	2
151	и это	7	2
152	в которой	7	2
153	отношения к	3	2
154	в области	5	2
155	я и	2	2
