N	3gram	Trubetskoy_1	Psycholo
1	для того чтобы	7	19
2	на то что	7	16
3	в том что	15	14
4	с одной стороны	2	12
5	о том что	4	6
6	заключается в том	2	6
7	в самом деле	5	5
8	до сих пор	8	5
9	с другой стороны	4	5
10	по сравнению с	5	4
11	заключает в себе	2	4
12	друг к другу	2	4
13	а с другой	2	4
14	тот факт что	4	4
15	вместе с тем	2	3
16	и то что	3	3
17	мы все же	2	3
18	не в состоянии	2	3
19	друг с другом	9	3
20	в конце концов	4	2
21	друг от друга	6	2
22	мы знаем что	7	2
23	одного и того	3	2
24	в данном случае	3	2
25	и того же	3	2
26	так же как	3	2
27	может быть и	4	2
28	принять во внимание	2	2
29	именно потому что	2	2
30	мы говорили выше	5	2
31	с точки зрения	8	2
32	о которых мы	3	2
33	в том и	2	2
34	не может быть	3	2
35	на самом деле	7	2
36	в этом случае	4	2
