N	2gram	Vinokur_Ku_1	SlovoVZh
1	не может	7	16
2	точки зрения	14	14
3	может быть	13	14
4	и его	5	13
5	как бы	7	13
6	таким образом	12	12
7	и в	24	12
8	отношению к	9	11
9	по отношению	8	11
10	и не	12	10
11	если бы	9	9
12	так как	9	9
13	прежде всего	9	8
14	для нас	2	7
15	в нем	4	6
16	при этом	6	6
17	с помощью	7	6
18	в том	30	6
19	только в	11	6
20	слова и	4	6
21	в ней	6	6
22	то что	9	5
23	должна быть	3	5
24	никогда не	2	5
25	а не	8	5
26	можно сказать	3	5
27	то же	8	5
28	хотя бы	10	5
29	как и	2	5
30	том что	21	5
31	как в	4	5
32	но в	2	5
33	в виду	5	5
34	все же	12	4
35	так и	7	4
36	с другой	7	4
37	на самом	2	4
38	уже не	8	4
39	что не	5	4
40	социального общения	3	4
41	зависимости от	6	4
42	не в	11	4
43	в этом	14	4
44	и на	4	4
45	в самом	10	4
46	и является	4	4
47	не только	10	4
48	в котором	3	3
49	в них	7	3
50	и более	2	3
51	не менее	7	3
52	когда он	3	3
53	в своей	2	3
54	сих пор	4	3
55	все это	6	3
56	все эти	6	3
57	так называемой	2	3
58	ясно что	3	3
59	по себе	2	3
60	этой точки	2	3
61	но и	6	3
62	и пр	15	3
63	того что	9	3
64	тем не	4	3
65	ни в	2	3
66	так же	4	3
67	самом деле	9	3
68	и с	5	3
69	о том	9	3
70	нуждается в	3	3
71	в каком	2	3
72	в себе	3	3
73	до сих	4	3
74	в пределах	4	3
75	еще не	5	3
76	и для	2	3
77	конечно не	2	3
78	здесь не	3	3
79	с ним	5	3
80	между тем	5	3
81	и значение	2	2
82	уже в	3	2
83	с этой	2	2
84	с его	4	2
85	что и	4	2
86	но все	2	2
87	что в	17	2
88	вместе с	7	2
89	в зависимости	5	2
90	в этих	4	2
91	в своем	3	2
92	социальной жизни	2	2
93	в какой	6	2
94	другой стороны	6	2
95	что слово	3	2
96	это не	7	2
97	смысл и	2	2
98	мы имеем	6	2
99	и все	2	2
100	в особенности	3	2
101	тогда когда	6	2
102	речи в	4	2
103	была бы	3	2
104	слово это	5	2
105	его к	3	2
106	вместе со	2	2
107	и что	5	2
108	слова но	2	2
109	не есть	4	2
110	с точки	9	2
111	и здесь	3	2
112	как на	3	2
113	в данном	4	2
114	и то	3	2
115	но не	5	2
116	со словом	3	2
117	до конца	2	2
118	в то	2	2
119	общения и	2	2
120	действия и	2	2
121	на примере	2	2
122	там где	4	2
123	оно не	3	2
124	как это	3	2
125	ничего не	2	2
126	он не	2	2
127	в его	12	2
128	и потому	4	2
129	относится к	2	2
130	между ними	2	2
