N	2gram	Propp_Isto_4	PoTuStor
1	может быть	14	17
2	и в	26	16
3	и пр	11	12
4	таким образом	10	9
5	в этом	7	9
6	мы можем	6	9
7	и только	5	9
8	и его	10	8
9	и с	5	8
10	не может	6	8
11	сказать что	2	7
12	не только	15	7
13	при этом	3	6
14	конечно не	2	6
15	отношение к	2	5
16	все эти	3	5
17	ни в	2	5
18	еще не	6	5
19	как бы	3	5
20	в нем	2	4
21	и их	2	4
22	но и	12	4
23	так и	10	4
24	все это	2	4
25	хотя бы	2	4
26	и все	2	4
27	так как	9	4
28	и не	9	4
29	как мы	5	4
30	но мы	3	4
31	и даже	4	4
32	с ними	5	4
33	и на	2	4
34	в этой	2	4
35	все что	4	4
36	только в	3	4
37	его в	9	4
38	но в	5	4
39	в его	5	4
40	во время	7	3
41	мы знаем	8	3
42	в этих	7	3
43	по сравнению	3	3
44	что в	14	3
45	и есть	2	3
46	и др	5	3
47	могут быть	6	3
48	вместе с	6	3
49	сих пор	5	3
50	сравнению с	3	3
51	в одном	5	3
52	к себе	3	3
53	те же	3	3
54	и вот	2	3
55	в том	3	3
56	а в	8	3
57	том что	3	3
58	и как	5	3
59	то что	16	3
60	их в	7	3
61	на этом	2	3
62	тех же	2	3
63	как это	3	3
64	в области	2	3
65	до сих	5	3
66	между ними	3	3
67	не менее	2	2
68	не могут	2	2
69	что и	9	2
70	не есть	2	2
71	же как	13	2
72	связанных с	2	2
73	другими словами	2	2
74	в частности	2	2
75	никогда не	2	2
76	с этой	2	2
77	из этих	3	2
78	с этим	2	2
79	то же	8	2
80	к этому	5	2
81	и других	3	2
82	с помощью	2	2
83	что он	10	2
84	что на	2	2
85	что мы	3	2
86	у него	5	2
87	и по	5	2
88	для нас	3	2
89	в этот	4	2
90	как и	7	2
91	мы видим	6	2
92	так же	18	2
93	но это	3	2
94	есть в	2	2
95	мы уже	5	2
96	не на	3	2
97	знаем что	7	2
98	а на	4	2
99	он не	7	2
100	и этим	2	2
101	есть и	2	2
102	было бы	2	2
103	что это	2	2
104	связанные с	3	2
105	о том	4	2
106	в своей	4	2
107	к ним	2	2
108	и действительно	3	2
