N	2gram	Tiupa_Lite_3	slovoVRo
1	в романе	3	46
2	и в	16	39
3	может быть	12	37
4	и его	6	33
5	то есть	5	26
6	не только	14	24
7	и не	22	22
8	но и	14	21
9	не может	8	20
10	в нем	2	19
11	до конца	4	17
12	в этом	14	16
13	так и	9	15
14	а не	12	14
15	как в	5	13
16	отличие от	5	13
17	во всех	2	12
18	в отличие	5	12
19	не в	10	9
20	и с	2	9
21	прежде всего	3	8
22	себя в	7	8
23	оно не	2	8
24	точки зрения	7	8
25	с его	6	7
26	при этом	15	7
27	для него	2	7
28	еще не	6	7
29	в его	6	7
30	как бы	8	7
31	никогда не	4	7
32	и потому	2	7
33	и даже	2	7
34	как мы	2	7
35	и к	3	6
36	все же	2	6
37	как и	5	6
38	но не	4	6
39	жизни и	3	6
40	там где	3	6
41	в слове	3	6
42	но в	3	6
43	с другой	6	5
44	это не	5	5
45	и для	4	5
46	романа и	2	5
47	по себе	2	5
48	том что	8	5
49	или иной	2	5
50	одной стороны	4	5
51	только в	7	5
52	в том	12	5
53	например в	3	5
54	той или	2	5
55	один из	2	5
56	с одной	4	5
57	человека в	2	5
58	уже не	3	5
59	и наконец	3	5
60	с ними	2	5
61	мира и	2	5
62	не менее	2	4
63	себя и	2	4
64	отношению к	4	4
65	же время	7	4
66	наконец в	3	4
67	по отношению	4	4
68	входит в	4	4
69	отношения к	3	4
70	то же	9	4
71	а в	5	4
72	и на	2	4
73	в основе	5	4
74	xix века	2	4
75	в то	9	4
76	отношение к	2	4
77	его в	2	4
78	здесь не	2	4
79	что в	2	3
80	стороны и	2	3
81	не с	2	3
82	в свою	2	3
83	что и	2	3
84	связи с	2	3
85	и как	3	3
86	бы и	3	3
87	этом отношении	5	3
88	лишь в	5	3
89	а также	4	3
90	с точки	3	3
91	той же	3	3
92	между тем	3	3
93	еще раз	2	3
94	как это	3	3
95	а лишь	2	2
96	в данном	4	2
97	ни к	3	2
98	хотя и	4	2
99	однако в	4	2
100	жизни в	4	2
101	не всегда	2	2
102	как например	2	2
103	в себе	6	2
104	что он	5	2
105	с ее	3	2
106	более того	3	2
107	х годов	15	2
108	как о	2	2
109	со всеми	2	2
110	в поэзии	5	2
111	о нем	2	2
112	даже в	4	2
113	на его	3	2
114	оставляет в	2	2
115	то что	12	2
116	вместе с	5	2
117	все они	2	2
118	а именно	5	2
119	здесь это	2	2
120	именно в	5	2
121	и т.п	6	2
122	того чтобы	2	2
123	для того	2	2
124	одним из	4	2
125	и при	2	2
126	автора и	2	2
127	эти слова	2	2
128	далеко не	2	2
129	в противовес	7	2
130	в другом	6	2
131	не знает	2	2
132	установка на	2	2
133	о том	6	2
134	здесь как	2	2
135	в области	3	2
136	в одном	4	2
137	вне себя	2	2
