N	2gram	Berdyaev_N_1	VeschiIm
1	не есть	3	49
2	не может	16	33
3	не только	5	31
4	может быть	7	29
5	и не	11	28
6	и в	16	26
7	то что	4	24
8	и есть	10	23
9	значит что	4	22
10	а не	17	20
11	в смысле	2	15
12	что она	2	14
13	и что	2	13
14	но и	3	12
15	сказать что	3	12
16	уже не	2	10
17	в ней	5	10
18	потому что	4	10
19	не значит	3	10
20	что такое	3	10
21	в том	8	9
22	и с	2	9
23	прежде всего	4	9
24	но это	6	8
25	с ее	5	8
26	в себе	2	8
27	и это	2	8
28	в то	2	7
29	том что	2	7
30	себя в	2	7
31	не будет	7	7
32	и пр	3	7
33	в этом	7	7
34	ли это	2	7
35	это есть	7	6
36	что в	9	6
37	жизни и	8	6
38	должно быть	4	6
39	когда мы	2	6
40	но в	2	6
41	она не	3	6
42	можно было	2	6
43	не менее	4	5
44	должна быть	3	5
45	ведь и	2	5
46	это не	4	5
47	не в	6	5
48	еще не	3	5
49	для этого	2	5
50	а в	2	5
51	с тем	3	5
52	в ее	3	5
53	это и	2	5
54	одна из	2	5
55	но не	2	5
56	и для	4	5
57	я не	2	4
58	с другой	3	4
59	и мы	4	4
60	мы говорим	2	4
61	и даже	2	4
62	с этим	2	4
63	о том	4	4
64	не существует	3	4
65	и все	4	4
66	как и	7	4
67	во всех	3	4
68	и потому	4	4
69	нет и	2	4
70	должен быть	5	4
71	мы не	2	4
72	никогда не	6	3
73	вопрос о	3	3
74	к тому	3	3
75	в нем	5	3
76	все это	5	3
77	перестает быть	4	3
78	в жизни	5	3
79	я называю	2	3
80	в своей	3	3
81	вместе с	2	3
82	так и	2	3
83	того чтобы	2	3
84	хотя бы	2	3
85	тому как	3	3
86	подобно тому	3	3
87	в основе	3	3
88	человека и	3	2
89	ни в	6	2
90	но она	2	2
91	так же	2	2
92	как это	2	2
93	ни к	2	2
94	жизни в	3	2
95	в одну	2	2
96	к ее	3	2
97	наряду с	3	2
98	он не	8	2
99	нем нет	2	2
100	как в	3	2
101	мысли и	2	2
102	это было	3	2
