N	2gram	Bakhtin_Fr_8	Psycholo
1	и в	56	38
2	то что	3	35
3	в том	13	25
4	в самом	9	25
5	самом деле	2	21
6	что в	5	20
7	может быть	3	19
8	что она	2	16
9	точки зрения	6	16
10	в ней	4	15
11	то есть	24	15
12	если бы	2	14
13	том что	8	14
14	как бы	11	14
15	потому что	6	14
16	в этой	6	13
17	в этом	14	13
18	мы видим	6	12
19	было бы	2	12
20	не только	8	12
21	таким образом	17	12
22	не в	3	12
23	что он	2	11
24	что это	4	10
25	в сущности	8	10
26	то же	11	10
27	и не	9	10
28	и все	6	10
29	с точки	2	9
30	того чтобы	4	9
31	все же	2	8
32	с тем	2	8
33	перед нами	3	8
34	в одном	2	8
35	вовсе не	6	8
36	как и	5	8
37	так что	3	8
38	и как	2	8
39	видим что	2	8
40	как раз	2	8
41	для того	2	8
42	и то	2	8
43	с другой	2	7
44	в ее	6	7
45	а не	2	7
46	не может	2	7
47	как мы	7	7
48	а в	2	7
49	между тем	3	7
50	мы уже	10	7
51	из них	2	6
52	и здесь	3	6
53	мы видели	5	6
54	до сих	8	6
55	один из	5	6
56	в котором	2	6
57	он не	5	6
58	второй план	2	6
59	с одной	4	6
60	так как	4	6
61	он говорит	2	6
62	и его	12	6
63	и на	7	6
64	в которых	2	6
65	о том	4	6
66	там где	3	6
67	казалось бы	3	5
68	в своем	3	5
69	одной стороны	2	5
70	несмотря на	2	5
71	в своей	2	5
72	время в	3	5
73	вместе с	2	5
74	но и	9	5
75	сих пор	8	5
76	другой стороны	2	5
77	в той	6	5
78	действующих лиц	2	5
79	мы не	2	5
80	в другом	3	5
81	в его	18	5
82	так сказать	5	5
83	в которой	4	5
84	никогда не	5	4
85	что они	2	4
86	по своему	8	4
87	при этом	4	4
88	когда он	2	4
89	и для	2	4
90	конечно не	4	4
91	во всех	8	4
92	не мог	3	4
93	не могли	2	4
94	в нем	8	4
95	что и	3	4
96	все эти	15	4
97	у всех	2	4
98	здесь мы	3	4
99	когда в	2	4
100	из которых	2	4
101	и даже	8	4
102	в своих	4	4
103	сказать что	3	4
104	у него	7	4
105	и совершенно	2	4
106	только в	9	4
107	что эти	2	4
108	одна из	4	4
109	в себе	4	4
110	в них	11	3
111	в речи	2	3
112	что все	4	3
113	главным образом	3	3
114	к этому	2	3
115	и к	4	3
116	ни в	2	3
117	он был	12	3
118	и конечно	2	3
119	конечно в	2	3
120	но это	2	3
121	к концу	2	3
122	совсем не	2	3
123	весь этот	2	3
124	и о	3	3
125	в основе	4	3
126	был бы	3	3
127	уже говорили	7	3
128	все это	8	3
129	к ним	2	3
130	из всех	2	3
131	того как	2	3
132	далеко не	2	3
133	в то	12	3
134	бы в	3	3
135	его в	2	3
136	но в	6	3
137	и которые	4	3
138	в данном	2	2
139	всех этих	3	2
140	и более	4	2
141	видели что	3	2
142	и другие	5	2
143	в этих	11	2
144	все они	6	2
145	из нее	2	2
146	так например	2	2
147	с этой	2	2
148	и во	2	2
149	на самом	2	2
150	друг другу	2	2
151	и ее	4	2
152	и эти	2	2
153	до конца	11	2
154	уже не	3	2
155	такой же	5	2
156	то время	2	2
157	здесь в	3	2
158	для него	2	2
159	слов и	3	2
160	они не	5	2
161	образом и	3	2
162	в первой	3	2
163	например в	4	2
164	но он	3	2
165	по преимуществу	2	2
166	все те	2	2
167	с ее	5	2
168	благодаря этому	2	2
169	дело не	2	2
170	данном случае	2	2
171	говорит о	2	2
172	целый ряд	2	2
173	так же	2	2
174	в совершенно	4	2
175	в виде	2	2
176	еще и	3	2
177	не просто	3	2
178	и наконец	3	2
179	мы найдем	2	2
180	той же	6	2
181	в качестве	4	2
182	здесь с	3	2
183	их в	4	2
184	к его	3	2
185	как к	2	2
186	его к	3	2
187	с ним	2	2
188	в эту	2	2
