N	2gram	Vygotskiy__5	OGranits
1	и в	16	13
2	и его	3	12
3	прежде всего	3	9
4	не может	18	8
5	и не	12	8
6	может быть	9	8
7	и их	4	7
8	точки зрения	18	7
9	в его	11	7
10	таким образом	19	6
11	не только	16	6
12	то что	26	6
13	только в	10	6
14	мы должны	8	6
15	как бы	5	6
16	все же	3	5
17	с точки	9	5
18	языка и	6	5
19	хотя бы	5	5
20	и т.д	4	5
21	в процессе	13	5
22	то же	8	4
23	не является	5	4
24	но мы	5	4
25	в своей	2	4
26	в школе	6	4
27	вопроса о	3	4
28	все это	2	4
29	еще и	3	4
30	мы не	3	4
31	мы можем	6	4
32	слов и	2	4
33	было бы	10	4
34	но в	6	4
35	отношению к	12	3
36	что в	16	3
37	никогда не	5	3
38	но и	6	3
39	так и	7	3
40	в их	3	3
41	по отношению	12	3
42	при анализе	2	3
43	в одном	3	3
44	самом деле	3	3
45	к одному	2	3
46	как и	8	3
47	не в	6	3
48	за пределы	4	3
49	в которой	5	3
50	и то	4	3
51	в пределах	4	3
52	говорить о	3	3
53	ничего общего	3	3
54	с этим	3	3
55	общего с	2	3
56	так как	16	3
57	еще в	3	2
58	не менее	3	2
59	с этой	4	2
60	самого начала	5	2
61	и тем	3	2
62	в нем	7	2
63	может иметь	2	2
64	ее в	3	2
65	к предмету	2	2
66	в целом	4	2
67	сознания и	2	2
68	который мы	2	2
69	а не	10	2
70	что эта	3	2
71	в этот	2	2
72	в отношении	9	2
73	отношений между	2	2
74	другой стороны	2	2
75	с другой	4	2
76	не на	3	2
77	в них	2	2
78	а в	3	2
79	речи не	4	2
80	с одной	3	2
81	все эти	4	2
82	вовсе не	2	2
83	те же	2	2
84	есть не	2	2
85	с самого	5	2
86	к тому	6	2
87	и к	2	2
88	как в	5	2
89	если бы	8	2
90	в чем	3	2
91	не имеет	4	2
92	в том	18	2
93	так же	15	2
94	том что	15	2
95	в зависимости	2	2
96	мы видим	4	2
97	с помощью	10	2
98	в своих	2	2
99	зависимости от	2	2
100	что они	5	2
101	которые только	2	2
102	в этом	25	2
103	учение о	2	2
104	тем что	5	2
105	между тем	3	2
106	и следовательно	6	2
107	могут быть	4	2
108	при этом	4	2
109	связанные с	6	2
110	для него	5	2
111	форм и	2	2
112	в другом	6	2
113	во всем	2	2
114	тот же	5	2
115	одной стороны	3	2
116	и может	3	2
117	в действительности	3	2
118	его на	2	2
119	в области	12	2
120	в самом	4	2
121	вслед за	2	2
122	имеет место	2	2
123	бы в	4	2
124	в ней	2	2
125	и является	3	2
126	представляет себе	3	2
127	языковых форм	2	2
