N	2gram	Losev_Dial_3	Sovremen
1	не может	19	17
2	точки зрения	25	12
3	может быть	13	12
4	таким образом	13	11
5	мы не	5	9
6	не можем	2	7
7	в этом	8	7
8	и в	24	7
9	и не	27	6
10	как и	7	6
11	только одна	3	6
12	ничего не	17	6
13	что же	11	5
14	прежде всего	8	5
15	все эти	3	5
16	с точки	14	5
17	в условиях	2	5
18	как бы	3	4
19	нет и	4	4
20	жизни и	5	4
21	в зависимости	2	4
22	это не	4	4
23	а в	2	4
24	вопрос о	5	4
25	не только	23	4
26	в том	5	4
27	их в	2	4
28	из них	3	4
29	зависимости от	3	4
30	так как	6	4
31	все же	3	3
32	отнюдь не	10	3
33	все это	6	3
34	отличается от	8	3
35	то же	6	3
36	ясно что	7	3
37	в нем	3	3
38	а не	26	3
39	и к	5	3
40	из двух	3	3
41	для нас	2	3
42	у нас	4	3
43	когда мы	2	3
44	не в	3	3
45	одна из	3	3
46	еще не	2	3
47	при этом	2	3
48	было бы	5	3
49	и все	6	3
50	в первом	2	3
51	в себе	2	3
52	что она	9	3
53	но в	2	3
54	и потому	2	3
55	ведь это	2	3
56	совершенно не	2	2
57	же мы	2	2
58	не могут	4	2
59	что это	12	2
60	не менее	11	2
61	и есть	16	2
62	в виде	8	2
63	у него	2	2
64	быть и	3	2
65	на котором	2	2
66	то и	3	2
67	и во	2	2
68	из этих	2	2
69	или же	3	2
70	что все	14	2
71	с одной	3	2
72	как мы	2	2
73	уже не	5	2
74	или иной	4	2
75	самом деле	6	2
76	и что	15	2
77	и пр	6	2
78	из которых	3	2
79	что такое	21	2
80	и даже	13	2
81	и по	2	2
82	тем не	10	2
83	мы знаем	3	2
84	он должен	3	2
85	той же	3	2
86	в таком	14	2
87	тот или	2	2
88	во всяком	2	2
89	на этом	2	2
90	могут быть	2	2
91	с этим	3	2
92	и они	2	2
93	что в	7	2
94	говорить о	4	2
95	со всеми	2	2
96	если же	8	2
97	в самом	7	2
98	в его	2	2
99	всяком случае	2	2
