N	2gram	Tiupa_Disk_2	Problemy
1	и в	16	46
2	то есть	12	40
3	и не	15	27
4	может быть	16	23
5	как бы	4	19
6	не может	9	19
7	в нем	7	17
8	в этом	16	16
9	не только	10	14
10	и т.п	12	14
11	перед нами	3	12
12	но и	11	12
13	как и	16	12
14	и на	5	11
15	точки зрения	4	11
16	в одном	4	11
17	а не	14	11
18	не в	3	10
19	в пределах	4	10
20	прежде всего	7	9
21	в том	8	9
22	в большинстве	2	9
23	и все	3	9
24	в его	3	9
25	с точки	2	9
26	и с	2	7
27	еще не	6	7
28	в себе	19	7
29	никогда не	2	6
30	ни в	7	6
31	но это	3	6
32	есть в	2	6
33	но в	11	6
34	что он	2	6
35	то же	6	6
36	все это	2	6
37	и его	3	6
38	только в	3	6
39	это не	3	5
40	же время	5	5
41	при этом	17	5
42	в котором	3	5
43	жизни и	3	5
44	по отношению	4	5
45	в то	5	5
46	с его	6	5
47	о том	4	5
48	отношению к	4	5
49	что в	5	4
50	в этих	3	4
51	можно сказать	3	4
52	например в	3	4
53	все эти	3	4
54	и наконец	3	4
55	должно быть	2	4
56	потому что	4	4
57	не знает	3	4
58	как в	8	4
59	том что	10	4
60	но не	7	4
61	он не	3	4
62	все же	6	4
63	то что	5	4
64	своего рода	10	4
65	так и	9	4
66	приводит к	3	4
67	себе самому	2	4
68	в себя	2	4
69	уже не	3	4
70	здесь не	2	4
71	с другой	5	3
72	из этих	3	3
73	к своему	2	3
74	в мире	11	3
75	такой же	2	3
76	в своем	5	3
77	в формах	2	3
78	и для	2	3
79	не к	2	3
80	отношение к	2	3
81	другой стороны	2	3
82	также и	3	3
83	рассказ в	2	3
84	их в	2	3
85	мы имеем	2	3
86	но при	2	3
87	но здесь	2	3
88	бытия и	2	3
89	с ее	2	3
90	по своей	6	3
91	того же	2	3
92	в своей	6	3
93	что и	2	3
94	себя в	6	3
95	что же	2	3
96	в отличие	12	3
97	в той	2	3
98	героя в	5	3
99	той же	2	3
100	в этой	4	3
101	далеко не	2	3
102	и это	2	3
103	дело в	2	3
104	отличие от	12	3
105	жизни не	2	2
106	не менее	7	2
107	должна быть	2	2
108	и одновременно	2	2
109	или иной	3	2
110	в строгом	3	2
111	живет в	2	2
112	и как	3	2
113	же как	2	2
114	собою не	2	2
115	времени и	2	2
116	для него	5	2
117	той или	3	2
118	но она	3	2
119	к жизни	3	2
120	того и	2	2
121	не было	3	2
122	свое время	2	2
123	установку на	2	2
124	пожалуй и	2	2
125	а в	2	2
126	в результате	2	2
127	между тем	2	2
128	и всякое	2	2
129	у пушкина	2	2
130	и другого	2	2
131	стороны и	2	2
132	слова не	2	2
133	здесь в	3	2
134	не нужно	2	2
135	в свое	2	2
136	на почве	2	2
137	вместе с	2	2
138	в языке	2	2
139	в данном	7	2
140	в рассказе	4	2
141	могут быть	3	2
142	в другом	3	2
143	одном из	3	2
