N	2gram	Potebnia_M_2	RusskieA
1	и в	24	36
2	а а	2	25
3	не только	15	22
4	что в	16	19
5	том что	8	19
6	в том	18	17
7	но и	9	16
8	так как	10	15
9	во время	4	14
10	в этом	8	12
11	в других	4	11
12	это не	3	10
13	как и	7	10
14	и т	6	10
15	вместе с	11	10
16	и на	8	10
17	потому что	49	10
18	т д	3	9
19	а в	8	9
20	с тем	4	8
21	состоит в	2	8
22	у нас	2	8
23	из них	5	8
24	может быть	23	8
25	один из	2	8
26	и по	2	8
27	о том	5	8
28	как это	2	8
29	что они	5	7
30	что и	11	7
31	так и	5	7
32	и других	2	7
33	между тем	6	7
34	и не	19	6
35	для нас	31	6
36	так например	3	6
37	при этом	13	6
38	в них	5	6
39	уже не	4	6
40	таким образом	11	6
41	мы не	11	6
42	все это	2	6
43	не имеет	6	6
44	то что	20	6
45	полагает что	3	6
46	все же	5	5
47	как бы	9	5
48	а и	5	5
49	и у	3	5
50	во многих	3	5
51	с ними	3	5
52	одно из	3	5
53	как в	10	5
54	того как	7	5
55	тому что	2	4
56	из этих	4	4
57	к этому	2	4
58	что на	3	4
59	одна из	4	4
60	животных и	2	4
61	еще не	4	4
62	связи с	6	4
63	не совсем	3	4
64	его с	2	4
65	во всех	7	4
66	в некоторых	4	4
67	и их	5	4
68	с в	2	4
69	так в	4	4
70	не может	12	4
71	в связи	2	4
72	а с	2	4
73	и что	4	4
74	того что	7	4
75	но это	3	4
76	тем что	7	4
77	только в	11	4
78	слова в	5	3
79	не менее	5	3
80	что это	3	3
81	связанные с	2	3
82	в этих	3	3
83	но все	2	3
84	в одном	6	3
85	думать что	3	3
86	в свою	6	3
87	от них	3	3
88	тем не	6	3
89	на этом	2	3
90	не можем	6	3
91	если в	3	3
92	не с	3	3
93	но эти	2	3
94	то же	12	3
95	к таким	2	3
96	так же	2	3
97	их в	2	3
98	как например	3	3
99	то есть	30	3
100	далеко не	3	3
101	этого слова	6	3
102	которые не	3	3
103	не было	6	2
104	всех этих	2	2
105	что ему	2	2
106	независимо от	9	2
107	могут быть	8	2
108	но даже	3	2
109	в нашем	2	2
110	но тем	3	2
111	сходство между	2	2
112	что у	2	2
113	к другому	4	2
114	только для	5	2
115	с этим	7	2
116	и потому	2	2
117	в каждом	2	2
118	главным образом	4	2
119	на все	3	2
120	значение и	2	2
121	в нем	9	2
122	у него	2	2
123	в жизни	2	2
124	такое же	2	2
125	так что	10	2
126	и как	6	2
127	мы видим	2	2
128	такой же	4	2
129	свою очередь	6	2
130	но не	12	2
131	но что	2	2
132	после того	2	2
133	например в	3	2
134	связь между	2	2
135	имеет место	2	2
136	на другие	6	2
137	у и	2	2
138	в ней	3	2
139	в его	2	2
140	не знали	2	2
141	в целом	3	2
142	как не	3	2
143	к нам	2	2
144	но она	3	2
145	судя по	5	2
146	что она	3	2
147	разница между	2	2
148	находится в	3	2
149	не на	2	2
150	тогда как	10	2
151	между прочим	4	2
152	все эти	2	2
153	в какой	2	2
154	на самом	2	2
155	а не	18	2
156	для обозначения	2	2
157	только по	3	2
158	и для	3	2
159	с ним	5	2
160	или в	2	2
161	воспоминания о	2	2
162	мы можем	12	2
163	хотя и	3	2
164	между двумя	6	2
165	себя и	2	2
166	к ней	2	2
167	и здесь	2	2
168	но в	4	2
169	мы должны	2	2
170	как он	4	2
171	там где	4	2
172	и поэтому	2	2
