N	2gram	Vygotskiy__4	Tragedij
1	и в	33	18
2	в этом	28	9
3	не только	7	8
4	и не	13	7
5	и на	5	7
6	и с	2	7
7	может быть	22	7
8	как бы	25	7
9	что он	20	6
10	и его	5	6
11	же время	2	6
12	у него	6	6
13	но в	2	6
14	все же	5	5
15	что это	13	5
16	так и	3	5
17	это не	6	5
18	не может	10	5
19	то же	9	5
20	как и	5	5
21	в то	3	5
22	но и	3	4
23	то что	44	4
24	в целом	5	4
25	что в	21	4
26	все это	13	4
27	я не	4	4
28	прежде всего	2	4
29	и все	12	4
30	в нем	7	4
31	так же	13	4
32	том что	22	4
33	в этой	9	4
34	и что	25	4
35	в себе	6	4
36	об этом	4	4
37	уже в	2	3
38	один из	2	3
39	с ее	3	3
40	в своем	7	3
41	никто не	4	3
42	в конце	8	3
43	как в	3	3
44	все эти	6	3
45	тем самым	3	3
46	жизнь и	4	3
47	и он	3	3
48	и как	5	3
49	эпизод с	3	3
50	должно быть	3	3
51	в его	10	3
52	при этом	2	3
53	как будто	8	3
54	в мире	3	3
55	как это	14	3
56	с ним	5	3
57	то есть	13	3
58	не имеет	2	2
59	перед нами	6	2
60	и до	3	2
61	не был	2	2
62	что и	3	2
63	как говорит	2	2
64	в частности	4	2
65	и за	3	2
66	что все	11	2
67	а как	2	2
68	вопрос о	2	2
69	не просто	4	2
70	бы и	2	2
71	с его	2	2
72	говорит что	10	2
73	к тому	12	2
74	столь же	2	2
75	и здесь	3	2
76	ни в	3	2
77	в ее	2	2
78	в том	21	2
79	до конца	7	2
80	говорит о	4	2
81	но все	2	2
82	так что	7	2
83	в таком	4	2
84	не в	2	2
85	что этот	3	2
86	точно так	3	2
87	и то	2	2
88	в рассказе	8	2
89	одна из	4	2
90	потому что	24	2
91	ничем не	2	2
92	знает что	2	2
93	с тем	4	2
94	тем что	3	2
95	в виде	3	2
96	и ее	2	2
97	еще раз	3	2
98	по поводу	4	2
99	в это	2	2
100	по словам	2	2
101	о том	20	2
102	его в	3	2
103	что эти	2	2
104	и это	5	2
105	в самом	12	2
106	ничего не	2	2
107	что говорит	2	2
108	он не	11	2
109	в одном	3	2
110	что она	10	2
111	отца и	2	2
112	никогда не	5	2
