N	2gram	Propp_Isto_4	Tragedij
1	и в	26	18
2	в этом	7	9
3	не только	15	8
4	и не	9	7
5	и на	2	7
6	и с	5	7
7	может быть	14	7
8	как бы	3	7
9	в образе	3	6
10	что он	10	6
11	и его	10	6
12	у него	5	6
13	но в	5	6
14	все же	9	5
15	что это	2	5
16	так и	10	5
17	это не	5	5
18	не может	6	5
19	то же	8	5
20	в дальнейшем	6	5
21	как и	7	5
22	но и	12	4
23	то что	16	4
24	в целом	2	4
25	что в	14	4
26	он всегда	3	4
27	все это	2	4
28	и все	2	4
29	в нем	2	4
30	и даже	4	4
31	так же	18	4
32	том что	3	4
33	но это	3	4
34	в этой	2	4
35	что я	2	4
36	и что	5	4
37	в себе	2	4
38	еще не	6	4
39	об этом	7	4
40	уже в	2	3
41	что образ	2	3
42	о чем	3	3
43	в своем	2	3
44	как в	7	3
45	все эти	3	3
46	и он	3	3
47	и как	5	3
48	к нему	6	3
49	в его	5	3
50	при этом	3	3
51	своего отца	3	3
52	как это	3	3
53	не имеет	3	2
54	перед нами	3	2
55	не могут	2	2
56	что и	9	2
57	в частности	2	2
58	и за	2	2
59	со мной	2	2
60	данном случае	3	2
61	я тебе	7	2
62	в самую	2	2
63	а как	2	2
64	вопрос о	4	2
65	не просто	4	2
66	но эта	4	2
67	уже не	5	2
68	отношение к	2	2
69	говорит что	2	2
70	и здесь	5	2
71	ни в	2	2
72	в том	3	2
73	говорит о	2	2
74	но все	5	2
75	так что	2	2
76	не в	5	2
77	что этот	4	2
78	тут же	2	2
79	точно так	5	2
80	в данном	3	2
81	и то	6	2
82	не случайно	2	2
83	одна из	2	2
84	потому что	6	2
85	с тем	2	2
86	тем что	5	2
87	в виде	2	2
88	о том	4	2
89	его в	9	2
90	это уже	2	2
91	не мог	3	2
92	ничего не	5	2
93	он не	7	2
94	в одном	5	2
95	что она	3	2
96	никогда не	2	2
