N	2gram	Ircho_Kome_2	Dialekti
1	и не	14	30
2	и есть	2	19
3	может быть	11	17
4	и т	2	17
5	то что	6	16
6	и в	26	15
7	как бы	2	14
8	не имеет	3	14
9	так как	4	14
10	точки зрения	4	14
11	что это	4	13
12	это не	2	12
13	прежде всего	4	11
14	в том	11	11
15	не может	3	11
16	говорить о	2	11
17	ясно что	8	11
18	и все	2	11
19	в этом	10	11
20	потому что	6	10
21	том что	9	10
22	было бы	8	9
23	в виду	2	9
24	все это	3	9
25	мы не	2	9
26	и что	2	9
27	то же	3	9
28	ни в	5	8
29	не в	2	8
30	не только	7	8
31	и ее	2	8
32	и это	2	8
33	что в	9	7
34	что именно	2	7
35	что он	5	7
36	как и	4	7
37	и его	12	7
38	или в	3	7
39	только в	4	7
40	так что	5	6
41	же время	3	6
42	хотя и	4	6
43	вовсе не	2	6
44	если бы	9	6
45	в то	6	6
46	что и	7	6
47	так и	12	5
48	в своем	6	5
49	того чтобы	6	5
50	в ней	3	5
51	но если	3	5
52	в нем	6	5
53	что она	2	5
54	таким образом	6	5
55	и на	7	5
56	о том	6	5
57	мы имеем	2	5
58	с его	5	5
59	для того	5	5
60	и для	4	5
61	той же	3	5
62	в этой	3	4
63	один из	5	4
64	жизни и	3	4
65	но и	10	4
66	с ними	2	4
67	и с	5	4
68	уже о	2	4
69	в одном	2	4
70	с тем	5	4
71	отнюдь не	2	4
72	этом смысле	2	4
73	то ни	2	4
74	с их	4	4
75	еще не	6	4
76	в течение	2	4
77	бы в	2	4
78	хотя бы	2	4
79	в силу	2	4
80	в его	4	4
81	не всегда	2	3
82	на этом	2	3
83	и если	2	3
84	для всех	3	3
85	говоря уже	2	3
86	не говоря	2	3
87	в их	3	3
88	с этим	5	3
89	в истории	5	3
90	но в	3	3
91	от этого	2	3
92	в один	2	3
93	к этому	5	3
94	об этом	2	3
95	надо было	3	3
96	только потому	2	3
97	в своей	3	3
98	со стороны	2	3
99	бы и	2	3
100	как в	3	3
101	на основании	5	3
102	из которых	3	3
103	мы можем	3	3
104	едва ли	14	3
105	не менее	4	2
106	в частности	4	2
107	с этой	3	2
108	из этих	4	2
109	представление о	2	2
110	вопрос о	3	2
111	что на	3	2
112	да и	3	2
113	но все	3	2
114	в пользу	2	2
115	в самом	4	2
116	в котором	3	2
117	с той	2	2
118	из них	7	2
119	и их	3	2
120	не по	4	2
121	одних и	2	2
122	не было	3	2
123	от того	2	2
124	мы находим	2	2
125	на что	2	2
126	и тех	2	2
127	как это	4	2
128	однако в	2	2
129	в них	4	2
130	и во	2	2
131	в ее	2	2
132	все же	4	2
133	в качестве	5	2
134	одной из	4	2
135	никто не	3	2
136	ни одна	2	2
137	нет и	2	2
138	себя в	3	2
139	как не	2	2
140	во всех	3	2
141	вместе с	9	2
142	даже не	3	2
143	тех же	3	2
144	того как	3	2
145	да еще	2	2
146	или иначе	3	2
147	что по	2	2
148	во всяком	2	2
149	тем что	3	2
150	как будто	4	2
151	в которой	5	2
152	отличие от	2	2
153	это было	4	2
