N	3gram	Losev_Prob_3	EvropaiC
1	в том что	9	16
2	до сих пор	2	12
3	с точки зрения	2	8
4	на самом деле	2	7
5	друг от друга	2	6
6	по сравнению с	2	5
7	не может быть	5	4
8	о том что	3	4
9	может быть и	3	4
10	тем не менее	10	4
11	в конце концов	3	4
12	с другой стороны	5	4
13	в этом случае	5	4
14	в данном случае	7	3
15	отличаются друг от	2	3
16	в связи с	7	3
17	в настоящее время	2	3
18	и то что	7	3
19	заключается в том	3	3
20	то что у	3	2
21	в то же	4	2
22	в том виде	2	2
23	что же касается	4	2
24	то ни было	3	2
25	бы то ни	4	2
26	только то что	2	2
27	во всяком случае	6	2
28	именно потому что	3	2
29	ничего общего с	2	2
