N	2gram	Bakhtin_Fr_1	Vvedenie
1	и в	65	32
2	в том	16	31
3	в этом	15	30
4	может быть	6	26
5	том что	6	26
6	не только	10	22
7	то что	3	16
8	потому что	5	15
9	так как	6	15
10	не может	3	14
11	в самом	4	13
12	в нем	13	13
13	о том	2	13
14	того что	2	12
15	в общем	4	12
16	в их	4	12
17	и не	22	12
18	в его	9	12
19	только в	7	12
20	как мы	6	11
21	и именно	2	11
22	в ее	3	11
23	что в	3	10
24	но в	14	9
25	между тем	5	9
26	в той	5	9
27	с другой	3	8
28	это не	3	8
29	не в	4	8
30	прежде всего	11	7
31	в большей	5	7
32	точки зрения	7	7
33	в применении	3	7
34	но не	2	7
35	все же	6	7
36	самом деле	3	7
37	не могут	3	6
38	из этих	2	6
39	до сих	4	6
40	но и	10	6
41	все это	9	6
42	применении к	3	6
43	и даже	8	6
44	его в	7	6
45	вовсе не	18	6
46	как и	5	6
47	сих пор	4	6
48	и его	10	6
49	этот вопрос	2	6
50	и это	2	6
51	так например	2	5
52	на этот	2	5
53	как бы	22	5
54	в целом	2	5
55	одним из	2	5
56	с их	5	5
57	сказать что	6	5
58	в них	5	5
59	по своему	8	5
60	что не	2	5
61	могут быть	2	5
62	связана с	5	4
63	времени и	6	4
64	одной стороны	2	4
65	в особенности	2	4
66	этом отношении	3	4
67	еще и	5	4
68	с одной	2	4
69	не просто	3	4
70	одно из	6	4
71	даже и	3	4
72	в чисто	2	4
73	что он	3	4
74	еще не	6	4
75	в своей	5	4
76	как раз	3	4
77	истории и	2	4
78	уже не	3	4
79	и для	2	4
80	в себе	3	4
81	в частности	5	3
82	в этих	2	3
83	понятно что	2	3
84	или меньшей	4	3
85	можно сказать	2	3
86	к тому	2	3
87	да и	2	3
88	в известной	3	3
89	но все	3	3
90	в этой	4	3
91	большей или	4	3
92	до конца	2	3
93	при этом	6	3
94	половины xix	2	3
95	хотя и	2	3
96	в ней	6	3
97	не вполне	2	3
98	в виду	3	3
99	к нему	3	3
100	на этой	3	3
101	отношение к	4	3
102	во второй	2	3
103	из них	4	3
104	до нас	3	3
105	в своем	8	3
106	все эти	10	3
107	и других	3	3
108	и вот	2	3
109	свое время	2	3
110	и на	11	3
111	культуры в	4	3
112	всего того	2	3
113	и к	4	3
114	связи с	4	3
115	в чем	2	3
116	в германии	2	3
117	в одном	5	3
118	в сущности	16	3
119	в свое	2	3
120	дело в	2	3
121	но с	2	3
122	второй половины	3	3
123	и вообще	3	3
124	в области	7	3
125	и другие	8	2
126	это уже	4	2
127	никогда не	6	2
128	в отношении	6	2
129	преимущественно в	3	2
130	это в	4	2
131	с конца	2	2
132	или иной	5	2
133	в дальнейшем	8	2
134	но это	3	2
135	литературы в	2	2
136	несмотря на	2	2
137	значительной мере	2	2
138	и др	24	2
139	жизни как	3	2
140	не к	2	2
141	возрождения и	2	2
142	от того	2	2
143	в форме	3	2
144	есть только	2	2
145	по его	3	2
146	рядом с	5	2
147	в более	3	2
148	и с	3	2
149	и так	2	2
150	он и	3	2
151	той или	5	2
152	и здесь	3	2
153	искусства и	6	2
154	так и	10	2
155	ни к	2	2
156	на котором	3	2
157	в разной	2	2
158	средних веков	3	2
159	значение и	2	2
160	его к	2	2
161	к какому	2	2
162	литературы и	5	2
163	во всех	9	2
164	что мы	2	2
165	известной мере	3	2
166	жизни и	7	2
167	мы уже	12	2
168	ни с	2	2
169	и до	4	2
170	так называемые	2	2
171	мысли и	4	2
172	только на	2	2
173	второй половине	2	2
174	входит в	4	2
175	которого мы	2	2
176	в значительной	6	2
177	между ними	4	2
178	с точки	3	2
179	которое в	2	2
180	время в	2	2
181	еще раз	2	2
182	на протяжении	5	2
183	она была	3	2
184	ничего не	3	2
