N	2gram	Savitsky_E_1	FransuaR
1	и в	37	29
2	то есть	6	21
3	таким образом	2	20
4	и не	14	16
5	и все	2	13
6	в этой	2	13
7	как и	7	12
8	но в	14	12
9	так и	10	11
10	и на	6	11
11	в этом	12	11
12	то же	15	10
13	как мы	5	10
14	в то	16	10
15	не только	18	10
16	вовсе не	6	9
17	но и	14	9
18	и с	2	9
19	же время	14	8
20	прежде всего	9	8
21	в его	2	8
22	как бы	6	8
23	в них	3	7
24	мы видели	3	7
25	так же	9	7
26	в том	11	7
27	так как	7	7
28	из них	3	6
29	в большинстве	2	6
30	этот процесс	2	6
31	что это	2	5
32	того же	3	5
33	далеко не	2	5
34	в своей	8	5
35	большинстве случаев	3	5
36	и по	5	5
37	сказать что	4	5
38	по своему	7	4
39	то что	6	4
40	жизни и	2	4
41	с другой	7	4
42	также и	7	4
43	в результате	3	4
44	тем что	3	4
45	точки зрения	23	4
46	мира и	3	4
47	в частности	5	3
48	в качестве	14	3
49	в своем	14	3
50	отметить что	3	3
51	в ее	8	3
52	но как	2	3
53	том что	6	3
54	и как	2	3
55	мы видим	2	3
56	то в	4	3
57	такой же	2	3
58	мы можем	3	3
59	того что	7	3
60	по преимуществу	2	3
61	он не	2	3
62	к нему	2	3
63	другой стороны	2	3
64	в известной	3	3
65	и других	2	3
66	того чтобы	6	3
67	для того	6	3
68	и даже	6	3
69	в ней	4	3
70	в себе	9	3
71	по своей	2	3
72	там где	3	3
73	в эту	2	3
74	место в	3	2
75	уже и	3	2
76	в другой	2	2
77	в этих	2	2
78	жизни в	3	2
79	и со	3	2
80	к тому	8	2
81	и к	3	2
82	одной из	5	2
83	есть в	2	2
84	именно в	4	2
85	но не	5	2
86	одной стороны	8	2
87	не может	9	2
88	и мы	3	2
89	стороны в	2	2
90	может быть	6	2
91	между прочим	7	2
92	хотя и	2	2
93	никогда не	3	2
94	а также	7	2
95	в котором	2	2
96	если в	2	2
97	со стороны	5	2
98	на них	2	2
99	и для	3	2
100	также в	2	2
101	как в	3	2
102	в их	11	2
103	не на	4	2
104	в других	2	2
105	с одной	8	2
106	во второй	3	2
107	в той	5	2
108	и эта	2	2
109	и наконец	2	2
110	с точки	17	2
111	между ними	2	2
112	как на	3	2
113	или в	2	2
114	в своих	2	2
115	и то	2	2
116	как будто	2	2
117	только в	9	2
118	о том	3	2
119	дело в	3	2
