N	2gram	Vinokur_Ku_1	Mirosoze
1	и в	24	46
2	в нем	4	22
3	может быть	13	21
4	в этом	14	20
5	никогда не	2	18
6	и не	12	18
7	не только	10	18
8	есть лишь	3	17
9	но и	6	15
10	не может	7	15
11	как и	2	13
12	не есть	4	13
13	а не	8	13
14	прежде всего	9	12
15	потому что	23	12
16	не было	3	11
17	в ней	6	11
18	у нас	10	11
19	и он	3	11
20	но в	2	10
21	он не	2	10
22	в себе	3	10
23	не в	11	9
24	любовь к	2	8
25	и есть	2	8
26	как бы	7	8
27	в своем	3	8
28	так как	9	8
29	в этой	3	7
30	что он	6	7
31	и потому	4	7
32	как в	4	7
33	хотя бы	10	7
34	и для	2	7
35	любви к	2	7
36	вопрос о	2	6
37	что это	5	6
38	так же	4	6
39	того что	9	6
40	и здесь	3	6
41	то же	8	5
42	я не	2	5
43	бы и	2	5
44	что все	2	5
45	в самом	10	5
46	один из	4	5
47	что она	3	5
48	это не	7	5
49	и все	2	5
50	в духе	3	5
51	к тому	5	5
52	по преимуществу	2	5
53	то что	9	5
54	в своей	2	5
55	для того	16	5
56	и его	5	5
57	в его	12	5
58	что в	17	4
59	тому что	3	4
60	для этого	3	4
61	до конца	2	4
62	только и	3	4
63	они не	3	4
64	не имеет	2	4
65	должны быть	2	4
66	в русском	4	4
67	также и	2	4
68	с его	4	4
69	в свою	3	4
70	том что	21	4
71	должен быть	4	4
72	что и	4	4
73	так и	7	4
74	т е	38	4
75	уже не	8	4
76	того чтобы	17	4
77	можно ли	2	3
78	в каждом	2	3
79	ни в	2	3
80	в том	30	3
81	лишь как	2	3
82	что они	4	3
83	было в	2	3
84	же есть	2	3
85	и против	2	3
86	не мог	2	3
87	и на	4	3
88	и с	5	3
89	о том	9	3
90	с ним	5	3
91	и должно	2	3
92	иное как	2	3
93	к которому	3	3
94	если бы	9	3
95	в них	7	3
96	что было	2	3
97	это и	4	3
98	связано с	3	3
99	до сих	4	3
100	сих пор	4	3
101	и тогда	4	3
102	того как	4	3
103	все равно	2	3
104	той же	3	3
105	тем что	8	3
106	только в	11	3
107	есть в	4	3
108	уже в	3	2
109	в этих	4	2
110	не всегда	2	2
111	или иной	3	2
112	так что	4	2
113	это есть	2	2
114	и если	3	2
115	на его	3	2
116	хотя и	3	2
117	же и	2	2
118	как то	2	2
119	не имеют	3	2
120	по отношению	8	2
121	в разных	2	2
122	чтобы получить	2	2
123	стоит в	4	2
124	лишь в	2	2
125	должно быть	3	2
126	а в	5	2
127	увидим что	2	2
128	к себе	4	2
129	в более	2	2
130	точки зрения	14	2
131	не случайно	6	2
132	бы в	7	2
133	е в	2	2
134	между тем	5	2
135	были бы	2	2
136	превращается в	2	2
137	себе в	3	2
138	тогда когда	6	2
139	по себе	2	2
140	связи с	7	2
141	и что	5	2
142	тот же	2	2
143	мы увидим	3	2
144	к свету	2	2
145	себе и	2	2
146	в сущности	3	2
147	оно не	3	2
148	отношению к	9	2
149	вместе с	7	2
150	ее в	2	2
151	что же	6	2
152	но с	2	2
153	к своему	2	2
154	что не	5	2
155	ни одного	2	2
156	можно было	6	2
157	от этого	2	2
158	в которой	6	2
159	ничего не	2	2
