N	2gram	Bakhtin_Pr_1	Sotsiolo
1	все это	6	7
2	в том	8	5
3	в этом	22	5
4	не в	7	3
5	как же	4	3
6	в его	24	3
7	и в	29	3
8	не только	15	3
9	или даже	2	2
10	по отношению	8	2
11	еще не	5	2
12	было бы	5	2
13	как будто	3	2
14	только в	10	2
15	в конце	6	2
16	по существу	3	2
17	это и	5	2
18	таким образом	12	2
19	том что	7	2
20	далеко не	3	2
21	то же	14	2
22	отношению к	8	2
23	то что	15	2
24	может быть	24	2
25	за пределы	7	2
26	в результате	4	2
27	и что	2	2
28	но и	14	2
29	только как	2	2
30	в смысле	2	2
31	как бы	19	2
32	должна быть	5	2
33	конце концов	5	2
34	ведь это	2	2
35	что в	8	2
